Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards,Inspection ID,Date of Last Inspection,Inspection Results,Identified Issues,Compliance Status,Quote ID,Service Required,Service Cost,Date of Quote,Region,Time Taken to Generate Quote,Quote Expiry Date,Quote Closure Status,Has Alarms,Has Sprinklers,Has Extinguishers
622,"7679 Nancy Stravenue Apt. 228
Jacobview, GA 17585",7900,58,Residential,10,Fair,Brick,Alarms,"Wide Doorways, Ramps, None",Build special wall put.,Office,Occupied,Asbestos,14848.0,2024-03-28,Failed,Step Congress event moment pay bad.,Non-compliant,10421.0,Plumbing,1971.55,2024-04-01,North Kathy,6 days,2025-06-27,Closed,1,0,0
622,"7679 Nancy Stravenue Apt. 228
Jacobview, GA 17585",7900,58,Residential,10,Fair,Brick,Alarms,"Wide Doorways, Ramps, None",Build special wall put.,Office,Occupied,Asbestos,14848.0,2024-03-28,Failed,Step Congress event moment pay bad.,Non-compliant,32335.0,Interior Painting,4505.38,2023-09-30,Brittanyfurt,5 days,2025-08-05,Closed,1,0,0
655,"PSC 6763, Box 2119
APO AE 30461",1805,71,Industrial,7,Fair,Concrete,"Alarms, Extinguishers, Sprinklers","Wide Doorways, None, Elevator, Ramps",Face information.,Warehouse,Occupied,Mold,1706.0,2023-03-23,Passed with minor issues,Of admit without notice read quality medical.,Non-compliant,33541.0,Electrical Work,533.83,2023-10-14,Hartmanland,4 days,2024-10-30,Pending,1,1,1
655,"PSC 6763, Box 2119
APO AE 30461",1805,71,Industrial,7,Fair,Concrete,"Alarms, Extinguishers, Sprinklers","Wide Doorways, None, Elevator, Ramps",Face information.,Warehouse,Occupied,Mold,1706.0,2023-03-23,Passed with minor issues,Of admit without notice read quality medical.,Non-compliant,41928.0,HVAC Installation,4167.86,2024-06-12,Tamarashire,2 days,2025-07-30,Closed,1,1,1
718,"45651 Roger Pines
Michaelfort, UT 92779",6191,79,Residential,4,Poor,Brick,"Extinguishers, Sprinklers","Elevator, None, Ramps",Purpose.,Office,Vacant,Mold,2544.0,2022-12-17,Passed,Free out cup three.,Non-compliant,37461.0,Plumbing,3635.8,2023-10-09,Hodgesborough,7 days,2025-01-13,Closed,0,1,1
720,"04081 Cisneros Islands
West Chloe, ND 15628",2528,84,Residential,5,Excellent,Concrete,"Alarms, Extinguishers, Sprinklers","Elevator, Ramps, None",Television film back.,Retail,Occupied,Lead Paint,46955.0,2021-12-30,Failed,I five less much decade Democrat gun.,Non-compliant,44384.0,Interior Painting,4953.02,2023-10-17,Lake Jessicahaven,1 days,2025-06-22,Converted,1,1,1
727,"475 Coffey Motorway
Port Glenda, NV 64465",9563,36,Industrial,4,Excellent,Brick,Alarms,"Ramps, Wide Doorways",Doctor writer.,Residential,Vacant,Asbestos,21045.0,2022-10-05,Passed,Coach cell notice seat reach edge entire.,Compliant,28097.0,Roof Repair,2860.35,2024-05-26,Lake Mathewfort,3 days,2024-11-24,Converted,1,0,0
730,"792 Lopez Square
North Linda, ME 44215",9950,79,Commercial,3,Poor,Concrete,"Alarms, Extinguishers, Sprinklers","None, Elevator, Wide Doorways",Item product.,Warehouse,Vacant,Lead Paint,43084.0,2023-12-09,Passed,Total group task me other difference.,Compliant,6393.0,HVAC Installation,3180.92,2024-05-21,Lake Williamshire,7 days,2024-11-22,Converted,1,1,1
730,"792 Lopez Square
North Linda, ME 44215",9950,79,Commercial,3,Poor,Concrete,"Alarms, Extinguishers, Sprinklers","None, Elevator, Wide Doorways",Item product.,Warehouse,Vacant,Lead Paint,43084.0,2023-12-09,Passed,Total group task me other difference.,Compliant,37129.0,Roof Repair,2993.3,2024-03-31,West Kevin,3 days,2025-02-02,Pending,1,1,1
741,"4261 David Passage
Richardmouth, SC 42158",4635,49,Commercial,6,Poor,Wood,"Extinguishers, Alarms, Sprinklers",Wide Doorways,Listen financial reality.,Warehouse,Vacant,Lead Paint,8943.0,2022-09-07,Failed,Return account over number.,Non-compliant,15036.0,Roof Repair,695.91,2024-08-31,East Hector,5 days,2024-10-31,Converted,1,1,1
741,"4261 David Passage
Richardmouth, SC 42158",4635,49,Commercial,6,Poor,Wood,"Extinguishers, Alarms, Sprinklers",Wide Doorways,Listen financial reality.,Warehouse,Vacant,Lead Paint,8943.0,2022-09-07,Failed,Return account over number.,Non-compliant,30589.0,Electrical Work,1368.68,2023-11-20,New Kathleenborough,7 days,2024-11-19,Pending,1,1,1
750,"5193 Carr Pine
East Benjamin, HI 60156",7335,85,Residential,9,Good,Wood,"Extinguishers, Sprinklers","Wide Doorways, Elevator, None, Ramps",Course church include.,Office,Vacant,Lead Paint,24485.0,2021-09-25,Passed,Should strategy now wonder oil story.,Non-compliant,15478.0,Interior Painting,4476.49,2024-06-07,South Jonathan,3 days,2025-01-26,Expired,0,1,1
750,"5193 Carr Pine
East Benjamin, HI 60156",7335,85,Residential,9,Good,Wood,"Extinguishers, Sprinklers","Wide Doorways, Elevator, None, Ramps",Course church include.,Office,Vacant,Lead Paint,24485.0,2021-09-25,Passed,Should strategy now wonder oil story.,Non-compliant,19767.0,Roof Repair,4214.11,2023-09-16,North Eric,1 days,2025-01-09,Closed,0,1,1
750,"5193 Carr Pine
East Benjamin, HI 60156",7335,85,Residential,9,Good,Wood,"Extinguishers, Sprinklers","Wide Doorways, Elevator, None, Ramps",Course church include.,Office,Vacant,Lead Paint,24485.0,2021-09-25,Passed,Should strategy now wonder oil story.,Non-compliant,21155.0,Electrical Work,1333.14,2024-02-25,Collinland,7 days,2025-08-27,Pending,0,1,1
821,"001 Weeks Union
Philipbury, MA 25065",9577,30,Industrial,7,Excellent,Brick,Alarms,"Wide Doorways, Ramps, None, Elevator",Dream evidence.,Office,Vacant,Lead Paint,32103.0,2023-06-28,Failed,Marriage white generation simply which series condition entire.,Non-compliant,10391.0,Interior Painting,2281.74,2024-05-10,New Markport,5 days,2025-06-14,Closed,1,0,0
821,"001 Weeks Union
Philipbury, MA 25065",9577,30,Industrial,7,Excellent,Brick,Alarms,"Wide Doorways, Ramps, None, Elevator",Dream evidence.,Office,Vacant,Lead Paint,32103.0,2023-06-28,Failed,Marriage white generation simply which series condition entire.,Non-compliant,12584.0,Roof Repair,4973.03,2024-08-01,Crystalbury,3 days,2025-02-21,Closed,1,0,0
826,"2720 Amber Parkways Apt. 487
Hugheschester, KS 32715",2625,92,Residential,8,Poor,Concrete,"Sprinklers, Alarms, Extinguishers","Elevator, None, Wide Doorways",Public least.,Residential,Occupied,Mold,1224.0,2021-10-29,Passed,Rather quite sister scientist admit mother.,Compliant,21842.0,HVAC Installation,4944.28,2023-11-26,Karenborough,5 days,2024-11-02,Expired,1,1,1
826,"2720 Amber Parkways Apt. 487
Hugheschester, KS 32715",2625,92,Residential,8,Poor,Concrete,"Sprinklers, Alarms, Extinguishers","Elevator, None, Wide Doorways",Public least.,Residential,Occupied,Mold,42209.0,2021-12-15,Failed,Design it land pick.,Compliant,21842.0,HVAC Installation,4944.28,2023-11-26,Karenborough,5 days,2024-11-02,Expired,1,1,1
842,"5922 Jenkins Fork
Lawsonmouth, ID 83515",7870,90,Commercial,5,Excellent,Wood,"Extinguishers, Alarms, Sprinklers","Ramps, Wide Doorways, Elevator, None",Mouth weight.,Warehouse,Occupied,Asbestos,18156.0,2021-10-04,Passed,Right plant risk nation over.,Compliant,16579.0,Roof Repair,4770.21,2024-03-21,Hayesfort,4 days,2024-11-02,Expired,1,1,1
858,"PSC 9898, Box 3588
APO AP 50124",1504,87,Industrial,2,Good,Brick,"Alarms, Extinguishers","Elevator, None",Tonight environment early.,Warehouse,Vacant,Mold,20219.0,2023-08-02,Failed,Store eye look authority artist before common law.,Compliant,35278.0,Electrical Work,4050.18,2024-02-21,New Nicolefort,2 days,2025-01-09,Converted,1,0,1
858,"PSC 9898, Box 3588
APO AP 50124",1504,87,Industrial,2,Good,Brick,"Alarms, Extinguishers","Elevator, None",Tonight environment early.,Warehouse,Vacant,Mold,39259.0,2023-12-15,Passed,Project century audience eye success really activity shake.,Compliant,35278.0,Electrical Work,4050.18,2024-02-21,New Nicolefort,2 days,2025-01-09,Converted,1,0,1
902,"970 Karen Greens Suite 446
East Heatherland, MA 11999",9476,15,Residential,1,Poor,Concrete,Extinguishers,"Ramps, Wide Doorways",By late serious sport.,Retail,Vacant,Lead Paint,35557.0,2023-12-04,Passed,Door according seven.,Non-compliant,24895.0,HVAC Installation,4276.14,2024-03-18,Juliashire,6 days,2025-08-16,Expired,0,0,1
902,"970 Karen Greens Suite 446
East Heatherland, MA 11999",9476,15,Residential,1,Poor,Concrete,Extinguishers,"Ramps, Wide Doorways",By late serious sport.,Retail,Vacant,Lead Paint,35557.0,2023-12-04,Passed,Door according seven.,Non-compliant,34228.0,HVAC Installation,3663.28,2024-05-02,West Dakota,1 days,2025-08-21,Closed,0,0,1
914,"4639 Patrick Path
West Sheila, SD 23590",880,50,Commercial,10,Poor,Concrete,Sprinklers,"Elevator, Wide Doorways",Far under.,Warehouse,Occupied,Lead Paint,28193.0,2022-09-06,Failed,Black three every team message might.,Non-compliant,48346.0,Roof Repair,2500.16,2023-11-28,Yatesmouth,4 days,2025-03-25,Converted,0,1,0
939,"84332 Harvey Fort Suite 886
Michaelaside, WV 65291",4813,22,Industrial,4,Excellent,Steel,Alarms,Wide Doorways,Wide several if.,Warehouse,Vacant,Mold,44412.0,2023-11-08,Failed,With daughter cold accept often boy.,Non-compliant,33183.0,Plumbing,2653.3,2024-08-16,Sherryview,3 days,2024-12-02,Pending,1,0,0
973,"719 Benson Mountains
Deniseton, MS 01092",1961,61,Industrial,7,Poor,Steel,"Alarms, Extinguishers","Wide Doorways, None, Elevator",Garden order rise discuss.,Office,Vacant,Asbestos,9299.0,2023-09-08,Passed with minor issues,Fill hair apply again head mother follow.,Compliant,333.0,Electrical Work,697.34,2024-05-11,Sanchezburgh,6 days,2025-06-13,Converted,1,0,1
973,"719 Benson Mountains
Deniseton, MS 01092",1961,61,Industrial,7,Poor,Steel,"Alarms, Extinguishers","Wide Doorways, None, Elevator",Garden order rise discuss.,Office,Vacant,Asbestos,9299.0,2023-09-08,Passed with minor issues,Fill hair apply again head mother follow.,Compliant,29445.0,HVAC Installation,4395.36,2023-12-13,Cynthiahaven,6 days,2025-04-15,Pending,1,0,1
973,"719 Benson Mountains
Deniseton, MS 01092",1961,61,Industrial,7,Poor,Steel,"Alarms, Extinguishers","Wide Doorways, None, Elevator",Garden order rise discuss.,Office,Vacant,Asbestos,9299.0,2023-09-08,Passed with minor issues,Fill hair apply again head mother follow.,Compliant,42920.0,Plumbing,3385.59,2024-02-07,Melvinport,4 days,2025-08-11,Converted,1,0,1
976,"8514 Savage Causeway
Port Shelly, NE 55339",1069,92,Commercial,7,Poor,Steel,"Extinguishers, Alarms","Ramps, None, Wide Doorways, Elevator",Street near our.,Retail,Vacant,Mold,35626.0,2023-11-10,Failed,Allow compare together treatment.,Compliant,9562.0,Electrical Work,689.7,2023-10-27,West Nicholasville,4 days,2025-02-19,Closed,1,0,1
976,"8514 Savage Causeway
Port Shelly, NE 55339",1069,92,Commercial,7,Poor,Steel,"Extinguishers, Alarms","Ramps, None, Wide Doorways, Elevator",Street near our.,Retail,Vacant,Mold,35626.0,2023-11-10,Failed,Allow compare together treatment.,Compliant,21697.0,Plumbing,3349.71,2024-06-29,Hawkinston,7 days,2025-04-19,Expired,1,0,1
