Quote ID,Property ID,Service Required,Service Cost,Date of Quote,Region,Time Taken to Generate Quote,Quote Expiry Date,Quote Closure Status
27,16733,Roof Repair,2987.13,2024-04-07,Lake Kimberlyview,6 days,2025-06-28,Expired
28,47801,HVAC Installation,3649.04,2024-05-10,West Amberton,7 days,2025-05-01,Converted
29,32418,Interior Painting,4804.55,2023-10-14,New Andrewburgh,7 days,2025-02-13,Closed
30,34679,Roof Repair,3418.73,2023-09-21,Perryburgh,7 days,2025-03-22,Pending
31,13576,Electrical Work,3349.94,2024-02-04,East Ryan,1 days,2025-07-24,Expired
32,28409,HVAC Installation,3579.49,2024-04-18,Joshuaburgh,6 days,2025-05-16,Closed
33,35108,HVAC Installation,906.85,2024-02-02,Port Katherine,5 days,2025-01-14,Closed
34,48152,Roof Repair,4547.7,2023-10-07,East Virginiaborough,2 days,2025-01-10,Pending
35,47591,Plumbing,939.54,2023-10-15,North Tracyland,1 days,2025-03-10,Closed
36,12198,Electrical Work,2035.21,2024-08-23,South Wendy,6 days,2024-10-23,Pending
37,14705,Plumbing,4907.74,2024-08-25,Port Joseph,5 days,2024-09-16,Converted
38,2804,Plumbing,3022.26,2023-12-06,Howardtown,1 days,2025-03-12,Closed
39,28305,Electrical Work,1540.33,2024-02-28,Ramirezstad,2 days,2024-10-21,Pending
40,46366,Roof Repair,815.35,2024-01-12,East Sandy,1 days,2025-05-09,Pending
41,43632,Electrical Work,3917.81,2024-07-07,Cisnerosmouth,5 days,2024-12-11,Converted
42,45879,Plumbing,2701.2,2023-12-07,West Cherylmouth,2 days,2025-01-04,Pending
43,48002,HVAC Installation,1414.32,2024-01-12,West Meghan,7 days,2024-09-20,Converted
44,46513,Interior Painting,4541.27,2023-10-12,Port Ashleychester,2 days,2025-06-21,Closed
45,677,Electrical Work,4367.9,2024-04-07,Victoriaburgh,3 days,2025-02-15,Pending
46,515,Plumbing,4382.53,2024-05-10,Jeremyville,2 days,2025-07-09,Closed
47,48100,Plumbing,1557.31,2023-10-14,Davidfort,3 days,2024-12-12,Expired
48,10953,Interior Painting,4094.32,2024-05-17,Nunezside,1 days,2025-04-26,Expired
49,20609,Roof Repair,2942.59,2024-05-07,Cookview,2 days,2025-04-17,Closed
50,9581,Roof Repair,4811.05,2024-08-07,Blackburnview,7 days,2024-11-23,Converted
51,43996,Plumbing,579.74,2024-08-15,Davidbury,4 days,2025-03-25,Converted
52,38666,HVAC Installation,1939.15,2024-09-07,Jaredfort,3 days,2025-08-06,Closed
53,17178,Electrical Work,634.53,2024-02-28,West Christinefurt,2 days,2025-03-20,Closed
54,10201,Plumbing,3303.49,2024-07-08,Larsontown,2 days,2025-06-07,Pending
55,31731,Interior Painting,2820.01,2023-10-13,Beckerchester,3 days,2025-02-25,Closed
56,32726,HVAC Installation,1542.34,2024-07-01,Tarachester,2 days,2025-06-17,Expired
57,3510,HVAC Installation,3744.64,2023-12-09,North Robinport,4 days,2024-12-03,Closed
58,33826,HVAC Installation,2241.48,2023-10-22,Marystad,3 days,2024-11-08,Closed
59,40058,Interior Painting,3312.33,2024-09-13,Williamport,5 days,2025-01-24,Closed
60,44646,Interior Painting,3006.3,2023-11-17,Davisbury,7 days,2025-05-19,Converted
61,46755,Plumbing,2501.1,2024-07-04,Lake Gregoryburgh,2 days,2025-05-20,Closed
62,22451,Plumbing,2504.09,2024-05-04,Jenniferborough,1 days,2025-03-14,Pending
63,32590,HVAC Installation,3103.54,2024-04-28,West John,1 days,2025-05-31,Closed
64,15434,Interior Painting,4453.56,2024-04-21,Matthewmouth,7 days,2025-06-27,Pending
65,21079,Plumbing,2767.06,2023-10-02,Port Jeffrey,2 days,2025-06-17,Expired
66,11125,Plumbing,1437.19,2023-11-18,Garciachester,6 days,2024-11-02,Expired
67,29762,Interior Painting,4170.85,2024-08-24,West Samuelhaven,1 days,2025-03-13,Converted
68,15349,Roof Repair,4611.83,2023-10-24,Denisetown,3 days,2025-04-06,Pending
69,43141,Plumbing,3098.67,2024-09-13,Sandersborough,3 days,2025-08-07,Expired
70,26577,Plumbing,4959.89,2024-04-13,East Jackchester,5 days,2024-11-01,Closed
71,40908,Roof Repair,4495.92,2024-03-08,Rhondafort,1 days,2025-06-06,Closed
72,49154,Interior Painting,1130.8,2024-01-27,West Marissabury,6 days,2025-04-10,Pending
73,7311,Roof Repair,2513.67,2024-04-24,North Jared,3 days,2025-08-31,Closed
74,32405,HVAC Installation,2079.34,2024-04-08,New Laurenborough,5 days,2025-04-19,Pending
75,35383,Electrical Work,1844.14,2024-07-30,Shafferhaven,5 days,2024-09-25,Closed
76,12073,Roof Repair,2171.55,2023-12-11,East Ronald,5 days,2025-04-22,Expired
77,34029,Plumbing,4986.95,2024-07-29,North Reginaldside,1 days,2025-06-01,Converted
78,23384,Electrical Work,2469.77,2024-01-28,East Kevinborough,2 days,2024-10-01,Converted
79,19844,HVAC Installation,1887.73,2024-04-23,Cochranborough,1 days,2025-08-06,Expired
80,4732,HVAC Installation,1375.47,2024-02-07,Amyland,4 days,2025-03-10,Expired
81,18280,HVAC Installation,3169.45,2024-04-06,Kristiside,1 days,2025-09-11,Pending
82,13056,Roof Repair,3834.42,2023-11-18,East Margaret,6 days,2025-02-12,Converted
83,38342,Interior Painting,1481.49,2024-07-07,West Bryan,7 days,2025-03-31,Closed
84,1876,Plumbing,758.51,2024-07-08,Danielport,2 days,2025-02-02,Pending
85,21864,Interior Painting,2055.69,2024-03-20,Malloryview,7 days,2025-02-26,Expired
86,31532,Roof Repair,1979.76,2023-11-24,Lake Melissa,4 days,2025-09-07,Expired
87,25751,Plumbing,3288.16,2024-08-23,Bettyfurt,6 days,2024-09-28,Expired
88,32107,HVAC Installation,4171.28,2024-05-26,Lake Danielle,3 days,2025-09-09,Converted
89,15010,Interior Painting,3035.43,2024-03-28,Stacystad,5 days,2025-08-25,Pending
90,37988,HVAC Installation,3278.91,2023-12-28,East Ericmouth,1 days,2024-10-05,Converted
91,8885,Roof Repair,1711.59,2024-02-10,Lake Andrea,4 days,2025-02-08,Expired
92,38953,Roof Repair,945.58,2024-02-17,New Felicia,4 days,2024-11-29,Closed
93,34184,Electrical Work,3885.75,2023-12-03,Sandovalview,1 days,2025-03-28,Converted
94,41976,Plumbing,3005.39,2023-09-18,Codybury,7 days,2025-08-05,Closed
95,13255,Plumbing,1233.48,2024-01-09,North Seanborough,6 days,2024-11-18,Pending
96,7811,HVAC Installation,1370.36,2024-07-03,Jamesmouth,1 days,2024-11-14,Closed
97,15952,Electrical Work,2386.18,2024-07-15,Roseberg,4 days,2025-05-18,Converted
98,17534,Roof Repair,1474.86,2024-02-10,Lauramouth,2 days,2025-05-19,Converted
99,20111,Plumbing,4157.35,2024-06-10,New Angie,2 days,2025-06-05,Expired
100,4638,Plumbing,4270.23,2024-06-01,Lake Jasmin,3 days,2025-04-19,Converted
101,498,HVAC Installation,994.92,2023-10-14,Jenniferside,3 days,2025-03-20,Closed
102,5688,Electrical Work,4527.94,2024-09-10,North Curtisstad,3 days,2024-12-04,Expired
103,38804,HVAC Installation,1913.31,2024-08-12,Port Kevinborough,7 days,2024-12-08,Expired
104,30381,Interior Painting,2724.44,2024-08-21,Thompsonborough,1 days,2024-12-27,Expired
105,22102,HVAC Installation,3764.44,2024-03-19,Lake Francisco,1 days,2025-06-25,Closed
106,35548,Plumbing,3678.66,2023-09-29,Davidton,3 days,2025-02-25,Pending
107,38522,HVAC Installation,3390.24,2024-04-20,West Stacy,6 days,2024-11-14,Pending
108,7913,HVAC Installation,1938.54,2023-12-31,Perezfurt,1 days,2025-02-11,Pending
109,22530,Interior Painting,814.65,2024-03-25,Marksmouth,3 days,2025-06-20,Closed
110,31313,Roof Repair,1444.29,2024-05-16,Nicolehaven,1 days,2025-05-27,Converted
111,41815,Interior Painting,4209.69,2023-09-26,West Brandonmouth,4 days,2025-03-27,Expired
112,2646,Plumbing,4210.65,2023-10-02,West Matthewborough,2 days,2024-12-14,Expired
113,8209,HVAC Installation,2222.88,2024-05-19,New Chelsea,6 days,2025-01-06,Expired
114,37866,HVAC Installation,4171.2,2024-01-02,Lake Tracyton,4 days,2025-05-15,Pending
115,9884,Roof Repair,2673.91,2024-07-18,Cooktown,3 days,2025-09-08,Expired
116,46083,Plumbing,3287.78,2024-06-10,Port Anthony,4 days,2025-05-02,Expired
117,38742,HVAC Installation,4189.22,2024-06-01,Lake Danielside,4 days,2025-04-18,Converted
118,8845,Roof Repair,1333.81,2024-09-03,Hannahtown,6 days,2025-03-01,Pending
119,17714,HVAC Installation,1548.05,2024-05-12,Stevenmouth,3 days,2025-03-13,Converted
120,10605,HVAC Installation,1921.37,2023-11-25,New Ericafurt,3 days,2025-04-02,Closed
121,48216,Interior Painting,3098.03,2024-05-13,North Lindsay,1 days,2025-08-27,Expired
122,19015,Interior Painting,635.55,2024-07-04,Port Davidchester,5 days,2025-02-02,Closed
123,14447,Roof Repair,795.28,2024-06-05,Brandonport,2 days,2025-07-07,Expired
124,47926,Interior Painting,3094.0,2023-10-23,East Stephaniechester,2 days,2024-12-04,Converted
125,38446,Interior Painting,750.46,2023-10-31,North Kimshire,5 days,2025-01-18,Converted
126,16718,Plumbing,4007.75,2024-04-12,Tracyside,7 days,2025-04-12,Closed
127,11153,Electrical Work,3932.44,2023-11-01,North Paul,1 days,2024-10-27,Closed
128,33640,Electrical Work,2383.76,2024-07-08,Kevinport,6 days,2025-08-05,Converted
129,22030,Interior Painting,3837.94,2024-09-07,South Frank,1 days,2025-07-30,Pending
130,17498,Plumbing,3708.05,2024-07-06,West Rhondaberg,5 days,2025-05-27,Expired
131,48210,HVAC Installation,4290.78,2024-07-01,South Elizabethbury,7 days,2025-08-25,Expired
132,2653,Electrical Work,2157.75,2023-11-19,Chaseview,2 days,2025-03-14,Pending
133,42060,Electrical Work,4610.7,2024-03-22,Charleston,3 days,2025-03-26,Expired
134,13197,Interior Painting,1694.49,2023-11-07,West Brittneyside,2 days,2025-06-02,Expired
135,29100,Interior Painting,2869.74,2024-02-17,Woodport,6 days,2025-05-06,Closed
136,41222,Plumbing,1904.14,2024-02-29,Moniqueton,5 days,2024-11-08,Closed
137,41990,Plumbing,4554.07,2024-08-21,Christophermouth,4 days,2025-03-03,Expired
138,10792,Plumbing,529.49,2024-05-18,Lake Johnton,1 days,2024-11-03,Closed
139,15650,Interior Painting,2007.6,2024-02-16,Maddenview,4 days,2025-02-12,Pending
140,34714,HVAC Installation,545.73,2024-09-11,West Nicholas,2 days,2024-11-20,Expired
141,33651,Roof Repair,4671.57,2024-03-13,Wallview,1 days,2024-12-12,Converted
142,44932,Interior Painting,512.88,2024-02-10,Ericberg,1 days,2025-02-13,Expired
143,39294,Plumbing,4541.29,2023-12-09,Jenniferland,1 days,2024-12-29,Expired
144,38578,Electrical Work,1614.62,2023-10-27,Franciscoview,4 days,2024-10-25,Expired
145,1907,Interior Painting,900.2,2024-02-02,Taylormouth,4 days,2025-08-17,Expired
146,7445,HVAC Installation,1714.66,2023-11-27,Jameschester,7 days,2024-11-18,Closed
147,18354,Plumbing,3886.43,2023-09-26,West Emily,3 days,2025-08-03,Expired
148,2502,Electrical Work,3284.69,2024-08-31,Nicholaschester,1 days,2025-03-08,Converted
149,48061,Plumbing,1766.48,2023-10-29,Joneston,7 days,2025-03-21,Closed
150,23628,Electrical Work,4821.91,2023-10-18,Lake Benjamin,5 days,2024-12-29,Expired
151,45594,Plumbing,1613.17,2024-08-15,Port Jody,1 days,2025-02-08,Pending
152,19729,Interior Painting,1788.96,2024-01-06,West Justin,6 days,2025-08-15,Pending
153,35901,HVAC Installation,658.55,2024-02-21,Loritown,3 days,2024-10-01,Expired
154,18694,Roof Repair,4218.51,2024-01-12,East Lauren,4 days,2024-12-04,Closed
155,49610,HVAC Installation,1932.66,2024-01-05,New Catherineview,2 days,2024-09-22,Closed
156,41404,Roof Repair,3242.17,2024-06-18,Aprilstad,2 days,2025-07-23,Closed
157,22692,Roof Repair,1619.52,2024-03-04,Lake Lori,6 days,2025-06-29,Expired
158,38600,Plumbing,1655.1,2024-07-28,Danielland,6 days,2025-03-30,Pending
159,12461,Interior Painting,634.68,2024-02-26,Melissaborough,6 days,2025-01-31,Expired
160,48530,Plumbing,802.93,2023-12-29,Lake Valeriemouth,7 days,2025-08-15,Expired
161,38508,HVAC Installation,2700.43,2024-03-17,Kristinamouth,1 days,2024-12-28,Pending
162,16850,Electrical Work,943.46,2024-07-13,East Amandafort,6 days,2025-02-21,Expired
163,18398,Interior Painting,3718.07,2024-05-23,East Amandaburgh,1 days,2025-05-30,Closed
164,1732,Roof Repair,1533.1,2023-09-23,North Christineburgh,7 days,2025-05-18,Closed
165,27415,Plumbing,3702.96,2023-11-12,Gallaghershire,1 days,2025-08-08,Converted
166,28335,HVAC Installation,1378.14,2023-09-18,East Georgemouth,4 days,2025-07-26,Closed
167,33254,Interior Painting,2160.95,2023-10-15,Port Richardville,1 days,2025-09-09,Pending
168,49920,Electrical Work,3205.13,2023-12-25,Port Keithport,4 days,2024-12-09,Closed
169,34125,Roof Repair,1967.85,2023-10-29,Bakerbury,4 days,2025-05-19,Converted
170,34183,Electrical Work,2361.14,2024-05-16,North Andrea,5 days,2024-12-24,Closed
171,24758,Electrical Work,2320.46,2024-01-07,Rosariofurt,4 days,2024-09-30,Expired
172,38798,Interior Painting,1409.06,2024-08-31,New Deborahmouth,3 days,2024-11-16,Pending
173,3927,Roof Repair,1527.69,2024-04-02,Lake Madisonville,5 days,2025-06-05,Pending
174,38905,Interior Painting,2428.33,2024-06-17,Smithmouth,2 days,2024-12-12,Converted
175,47163,Plumbing,4710.65,2023-12-19,North Jonathanberg,1 days,2024-12-28,Converted
176,6252,Interior Painting,2693.8,2023-10-04,Thomasmouth,1 days,2024-10-23,Expired
177,7365,HVAC Installation,2213.67,2023-10-31,West Frankport,1 days,2025-08-10,Expired
178,19067,Interior Painting,1078.25,2024-01-14,North Linda,5 days,2025-06-05,Pending
179,40066,Plumbing,2884.5,2023-12-12,East Heather,5 days,2025-02-11,Closed
180,22157,Interior Painting,1488.78,2024-07-25,Wendyhaven,7 days,2025-05-03,Closed
181,19045,Roof Repair,4486.34,2024-01-13,Olsonmouth,6 days,2025-04-25,Pending
182,41201,Interior Painting,4493.97,2024-07-08,Michelechester,3 days,2025-03-09,Pending
183,49580,Interior Painting,2962.47,2024-05-23,Woodfurt,5 days,2025-07-12,Closed
184,21568,Electrical Work,1206.06,2024-09-05,Williamton,3 days,2025-05-26,Pending
185,44752,HVAC Installation,2141.59,2023-09-24,Christopherville,4 days,2024-12-27,Expired
186,12695,Interior Painting,753.52,2024-02-15,Christopherview,3 days,2024-10-30,Expired
187,27139,Electrical Work,2314.25,2024-08-31,Millsside,6 days,2025-05-09,Expired
188,6949,HVAC Installation,3195.67,2024-06-25,Ruthton,3 days,2024-12-27,Expired
189,29608,Roof Repair,3620.7,2024-09-12,Williamsbury,1 days,2025-09-02,Pending
190,29572,Electrical Work,1891.6,2024-02-16,South Raymond,6 days,2024-10-20,Pending
191,9848,Roof Repair,754.13,2024-03-02,South Danielhaven,7 days,2024-11-08,Pending
192,42160,Plumbing,3703.1,2024-06-10,West Samanthafurt,7 days,2024-10-30,Pending
193,20548,HVAC Installation,3363.13,2024-03-09,Sandraville,2 days,2025-06-14,Closed
194,27575,HVAC Installation,3430.39,2024-03-09,South Kristina,3 days,2024-11-04,Expired
195,1471,Roof Repair,2269.77,2024-04-16,South Tiffany,5 days,2024-10-17,Converted
196,27791,Electrical Work,4731.49,2024-08-08,Jacksonmouth,4 days,2025-03-04,Pending
197,32754,Roof Repair,4622.83,2024-07-10,Heathermouth,5 days,2025-06-24,Converted
198,9165,Plumbing,4283.15,2024-05-23,Mendozatown,5 days,2025-06-08,Converted
199,43697,Interior Painting,4161.9,2024-08-14,New Robertbury,4 days,2025-06-04,Closed
200,17533,HVAC Installation,4945.46,2024-02-17,New Julia,7 days,2025-01-06,Converted
201,44642,Roof Repair,3634.33,2023-11-04,North Richard,7 days,2025-02-17,Converted
202,41446,HVAC Installation,4038.03,2024-04-06,Debraton,3 days,2025-04-24,Pending
203,33725,Electrical Work,2735.25,2023-12-01,New Jenniferburgh,1 days,2024-10-07,Expired
204,14421,HVAC Installation,4624.1,2024-05-18,West Christine,1 days,2025-06-14,Pending
205,9050,Roof Repair,2767.18,2023-09-24,Reynoldsstad,6 days,2025-08-31,Pending
206,3399,Electrical Work,4524.54,2024-07-10,Paulton,1 days,2025-04-16,Converted
207,14308,Electrical Work,3686.29,2024-04-18,Davisbury,6 days,2025-02-27,Closed
208,49215,Interior Painting,3847.33,2024-06-07,Lake Jillchester,2 days,2025-02-13,Expired
209,25773,Roof Repair,3098.63,2023-12-22,Erikfurt,3 days,2024-10-26,Closed
210,32575,HVAC Installation,4914.69,2023-12-15,South Markborough,1 days,2025-03-22,Pending
211,2331,Plumbing,4351.99,2024-02-06,Justinmouth,2 days,2025-01-19,Pending
212,11253,Roof Repair,767.32,2024-04-15,North Michaelberg,1 days,2025-04-22,Converted
213,41602,Electrical Work,3460.02,2024-01-19,Port Williamland,4 days,2025-06-20,Expired
214,46045,HVAC Installation,1036.54,2023-10-05,North Cassandrastad,1 days,2025-06-03,Closed
215,49524,HVAC Installation,3654.63,2023-10-28,Curtismouth,6 days,2025-06-17,Converted
216,25630,Electrical Work,2964.14,2024-05-04,Jessicahaven,4 days,2025-09-09,Converted
217,40747,Electrical Work,3123.93,2024-04-02,New Gabriel,3 days,2025-04-10,Pending
218,11088,Roof Repair,1035.01,2024-07-05,East Christianburgh,7 days,2025-04-27,Closed
219,8614,Interior Painting,3053.38,2023-09-27,New Aliciatown,3 days,2025-02-11,Expired
220,22999,HVAC Installation,4390.39,2024-05-07,New Kenneth,4 days,2024-12-10,Closed
221,4941,Plumbing,3872.95,2024-02-16,Georgehaven,6 days,2025-04-27,Pending
222,1828,Interior Painting,871.15,2024-08-24,Lake Franktown,7 days,2025-06-26,Pending
223,11187,Electrical Work,1574.18,2024-08-11,Smithside,7 days,2025-09-05,Converted
224,21891,HVAC Installation,3504.16,2024-01-22,North Devon,1 days,2025-07-26,Closed
225,14199,Interior Painting,3845.23,2023-12-09,Margarettown,3 days,2025-02-20,Expired
226,25219,HVAC Installation,3217.51,2024-07-18,South Jacob,5 days,2025-03-30,Closed
227,7550,Plumbing,2475.95,2023-11-07,Lake Donaldberg,3 days,2025-04-03,Closed
228,41863,HVAC Installation,1485.0,2024-02-20,Parsonsmouth,3 days,2025-08-02,Closed
229,19552,Electrical Work,2139.13,2023-09-18,Cuevastown,2 days,2024-11-15,Expired
230,13050,Electrical Work,3589.65,2024-01-13,North Sierrafurt,2 days,2025-03-18,Closed
231,5259,Electrical Work,1800.19,2024-02-14,East Jessica,4 days,2025-08-21,Closed
232,16765,Plumbing,1257.14,2024-02-03,Port David,6 days,2025-06-17,Closed
233,30734,Interior Painting,3489.35,2024-04-19,New Tracy,1 days,2024-12-19,Expired
234,3119,Plumbing,3675.47,2024-02-13,Garzaburgh,6 days,2024-11-09,Converted
235,24238,HVAC Installation,2534.04,2024-03-10,East Michaelshire,3 days,2025-01-19,Closed
236,22459,Plumbing,4570.58,2023-10-26,Taylortown,2 days,2025-04-09,Closed
237,43905,HVAC Installation,4105.44,2023-10-27,North Joseph,2 days,2024-10-08,Converted
238,38097,HVAC Installation,2804.57,2024-07-03,North Peter,4 days,2025-02-07,Closed
239,21383,Roof Repair,3143.78,2024-08-18,East Patricia,4 days,2025-06-23,Expired
240,45879,Roof Repair,883.09,2024-01-10,Woodland,4 days,2024-10-26,Expired
241,19399,HVAC Installation,4089.12,2024-06-03,Christopherland,5 days,2024-12-01,Expired
242,22953,Plumbing,3350.16,2024-01-16,Valenzuelaville,4 days,2025-02-25,Pending
243,41025,Roof Repair,2928.6,2024-07-11,Bennettton,3 days,2025-08-18,Closed
244,46887,Roof Repair,677.61,2024-07-26,Krystalfort,6 days,2025-03-07,Converted
245,43090,HVAC Installation,4906.3,2023-11-11,Maldonadoville,4 days,2024-11-08,Converted
246,2451,Electrical Work,3072.56,2023-09-26,North Tanyaville,5 days,2025-05-27,Pending
247,43817,Electrical Work,3759.96,2024-03-02,North Darylside,2 days,2025-07-22,Pending
248,40251,Interior Painting,3029.59,2023-12-11,Lake Jamie,2 days,2024-12-31,Closed
249,20961,HVAC Installation,1538.08,2024-05-28,Fieldsmouth,5 days,2025-01-29,Pending
250,39408,Interior Painting,1472.98,2023-10-09,East Emilyburgh,7 days,2024-11-25,Closed
251,26897,Roof Repair,3958.41,2024-03-03,West Danielle,4 days,2025-02-10,Closed
252,38268,HVAC Installation,535.75,2024-08-14,Joyceview,2 days,2024-11-01,Closed
253,3523,Electrical Work,1382.91,2023-10-20,East Kyleland,2 days,2025-04-15,Converted
254,22696,Plumbing,2327.82,2024-08-24,Holdenside,4 days,2025-07-19,Converted
255,42840,HVAC Installation,764.26,2023-11-20,Rodriguezmouth,6 days,2025-03-15,Closed
256,45424,Roof Repair,527.46,2023-11-04,Davisburgh,7 days,2024-12-07,Converted
257,45847,Roof Repair,4828.08,2024-01-30,East Stacieport,7 days,2024-10-03,Closed
258,35186,Plumbing,4050.53,2024-04-22,Susanport,6 days,2024-10-04,Closed
259,46282,Interior Painting,2654.33,2023-10-26,Michaelstad,2 days,2025-02-10,Expired
260,3247,Interior Painting,849.79,2024-07-03,New Linda,2 days,2024-10-29,Converted
261,19727,Roof Repair,1261.17,2024-02-28,New Deniseview,3 days,2024-10-15,Expired
262,29976,Roof Repair,707.04,2024-04-23,North Angeltown,3 days,2025-05-11,Pending
263,28326,Electrical Work,3393.18,2024-01-16,Port Jefffort,2 days,2024-10-23,Pending
264,1061,Electrical Work,2536.1,2023-11-21,Wolfefurt,5 days,2025-02-24,Closed
265,12590,Plumbing,2293.7,2024-04-17,Adamsfort,4 days,2024-10-27,Closed
266,43937,Plumbing,2416.23,2024-08-02,Hernandezside,4 days,2025-02-18,Converted
267,36540,Electrical Work,1629.36,2024-01-03,North Christine,4 days,2024-11-21,Pending
268,6246,HVAC Installation,2456.72,2024-08-16,East Alisonport,2 days,2024-11-30,Closed
269,26733,Interior Painting,3579.75,2023-10-02,Hollymouth,1 days,2025-07-01,Expired
270,1256,Interior Painting,682.55,2024-03-21,Christinabury,6 days,2025-01-04,Expired
271,20586,Electrical Work,3959.82,2023-11-10,Peterborough,2 days,2025-08-26,Closed
272,47267,HVAC Installation,2351.88,2024-02-17,South Christopher,4 days,2025-09-13,Closed
273,292,HVAC Installation,4112.96,2024-02-10,North Amandahaven,5 days,2024-12-30,Closed
274,2986,HVAC Installation,4148.53,2024-07-02,Joshuaburgh,2 days,2025-04-11,Expired
275,17123,Electrical Work,1963.07,2024-02-07,Port Danielshire,5 days,2025-08-24,Expired
276,40966,HVAC Installation,3493.72,2024-03-16,South Mirandamouth,3 days,2024-09-19,Closed
277,10879,Interior Painting,2436.28,2023-12-17,Lake Jaimebury,2 days,2025-02-13,Converted
278,6377,Interior Painting,632.16,2023-12-22,Port Michele,7 days,2025-06-06,Closed
279,612,Roof Repair,4342.08,2024-06-12,North Stephenfort,2 days,2025-05-14,Converted
280,48785,Interior Painting,839.85,2024-06-06,Burgesshaven,6 days,2025-03-14,Expired
281,33087,Roof Repair,1780.22,2023-10-11,South Dianamouth,7 days,2025-01-10,Converted
282,41426,Roof Repair,2455.57,2023-10-04,Timothyview,5 days,2025-06-03,Expired
283,10266,Roof Repair,4049.38,2024-02-29,Kleinfurt,1 days,2025-04-28,Expired
284,19241,Electrical Work,1617.54,2023-12-31,West Jason,4 days,2025-08-07,Closed
285,43499,Plumbing,2712.36,2023-12-27,Jayport,1 days,2024-11-07,Converted
286,30732,Electrical Work,1199.81,2024-02-22,Lake Paul,7 days,2024-11-07,Pending
287,32148,Plumbing,3621.88,2023-10-23,Heatherside,2 days,2024-11-04,Expired
288,25798,HVAC Installation,2650.4,2024-02-21,Sharonville,7 days,2025-01-02,Pending
289,4378,Roof Repair,4072.13,2024-07-29,Port Matthewstad,4 days,2024-09-21,Closed
290,4260,Electrical Work,666.64,2023-10-06,Tracyville,7 days,2024-09-24,Pending
291,17134,Plumbing,3037.15,2024-01-03,Gregoryville,7 days,2025-01-17,Converted
292,21393,Electrical Work,2234.92,2024-08-07,Coltonbury,3 days,2025-04-01,Converted
293,41539,Plumbing,4433.83,2024-05-06,Jenniferhaven,6 days,2024-10-25,Closed
294,16297,Interior Painting,3509.79,2024-01-27,Carterton,3 days,2025-02-25,Converted
295,1530,Interior Painting,2080.69,2023-10-10,Barronland,7 days,2025-09-15,Closed
296,20349,Electrical Work,1924.87,2024-01-21,Lake Rachel,4 days,2025-07-06,Pending
297,20237,HVAC Installation,2870.24,2024-04-02,South Coryland,2 days,2025-02-27,Converted
298,12409,Electrical Work,820.93,2024-02-17,Mcbrideville,3 days,2025-08-31,Converted
299,7237,Roof Repair,730.89,2024-05-04,North Crystal,3 days,2025-07-22,Converted
300,22556,Electrical Work,683.15,2023-10-19,Stevenland,5 days,2025-06-05,Closed
301,26942,HVAC Installation,1113.96,2024-09-02,Ballardland,7 days,2025-02-15,Converted
302,37360,Interior Painting,1993.71,2023-10-20,North Briana,3 days,2024-12-20,Expired
