Company ID,Company Name,Service Areas,Pricing Models,Competitor Pricing,Service Offerings,Client Feedback and Ratings
68,Brown PLC,"North Joelmouth, New Sarah, Lewishaven",Hourly Rate,Competitive,"Roofing, Electrical, Plumbing, Renovation, Maintenance",3.7
69,Medina Ltd,Roberttown,Flat Rate,Higher,"Electrical, Roofing, Painting",3.5
70,"Olson, Mitchell and Olson",New Danielle,Subscription,Higher,"Maintenance, Cleaning, HVAC",4.9
71,"Martin, Mcbride and Rivera",Smithmouth,Project-based,Higher,"Maintenance, HVAC, Cleaning",3.7
72,Brown LLC,Gabrielside,Hourly Rate,Competitive,"Cleaning, Electrical",4.2
73,Smith Inc,Lake Michael,Subscription,Higher,"Cleaning, Renovation, Electrical, Painting",3.7
74,Smith-Mccormick,Costahaven,Project-based,Lower,"Maintenance, Plumbing, HVAC, Cleaning",4.8
75,Smith PLC,"Raymondton, Gabriellefort, Port Ashley",Hourly Rate,Lower,"Painting, Cleaning, Plumbing, Roofing, HVAC",3.0
76,"Sanders, Russell and Maldonado","North Rebeccatown, Jessicaburgh",Subscription,Higher,HVAC,4.1
77,Aguilar-Salazar,South Matthewburgh,Subscription,Competitive,Electrical,3.5
78,Robinson-Mcdonald,"South Jennifer, West Sharon, Zacharyfurt",Flat Rate,Competitive,HVAC,4.6
79,Sharp-Zamora,"South Joshuaview, Lake Josephborough, South Sara",Flat Rate,Competitive,"Roofing, Cleaning, Maintenance",4.6
80,"Stone, Cortez and Allen","New Michelle, Johnsonfurt, Port Tammyburgh",Project-based,Lower,Plumbing,4.3
81,Robertson-Park,"East Thomas, Shawnview, Wrightburgh",Subscription,Higher,"Renovation, Electrical",3.7
82,Clark Ltd,"Miguelchester, Jacobton",Project-based,Higher,"Maintenance, Electrical, Roofing, HVAC, Painting",4.2
83,Burton-Wright,"West Bobby, East Susanhaven, Jonathanport",Flat Rate,Lower,Cleaning,3.4
84,Stewart-Bailey,"Josephberg, Port Ralph, North Allisonfort",Flat Rate,Competitive,Electrical,4.5
85,Lee-Rowe,"East Glenshire, Davidmouth",Subscription,Higher,"Plumbing, HVAC, Painting",3.2
86,Vang-Higgins,"Jacksonton, Marystad, Milesmouth",Hourly Rate,Competitive,Painting,4.7
87,Rios Inc,"Jeffreymouth, Katieside, Williamsborough",Hourly Rate,Lower,"Renovation, Plumbing, HVAC, Cleaning",3.1
88,Butler and Sons,"East Patriciaport, Pachecoport",Project-based,Competitive,"Roofing, Cleaning, Painting, HVAC",3.1
89,Cook Inc,West Amberchester,Subscription,Lower,Roofing,4.0
90,"Brown, Richardson and Young","East Teresa, North Anneberg",Project-based,Competitive,"Renovation, Maintenance",3.2
91,"James, Burnett and Grant",Johnsonside,Project-based,Lower,"Maintenance, Plumbing, HVAC, Cleaning",4.7
92,Baker-Allen,Mathisside,Flat Rate,Higher,"Cleaning, Painting",3.4
93,"Powell, Nolan and Arellano","East Kristinachester, Thomasborough",Subscription,Lower,"Cleaning, Plumbing",4.4
94,"Jackson, Sullivan and Le","Pattonchester, Lake Dawn, Lake Reginafort",Hourly Rate,Competitive,"Plumbing, Painting, Cleaning",4.5
95,"Davis, Roberts and Cox","Port Dennishaven, West Olivia, Christinaport",Hourly Rate,Competitive,"HVAC, Cleaning",4.7
96,"Hayes, Smith and Franklin",Lewisbury,Project-based,Competitive,Roofing,3.8
97,"Young, Walker and Kelly","Johnsonbury, West Parker",Hourly Rate,Lower,"Plumbing, Electrical",3.1
98,Diaz Inc,"Lindseyton, Lindaport, Jensenside",Project-based,Competitive,"Roofing, Painting, Renovation, Maintenance, HVAC",4.8
99,Finley-Myers,"Lake Robert, South Gary, Weisschester",Hourly Rate,Competitive,"Renovation, Painting, Roofing",3.2
100,Perez-Liu,East Kennethberg,Flat Rate,Competitive,"Electrical, Renovation, Cleaning, HVAC",3.6
101,Hall-Payne,"North Travis, Jeffhaven",Subscription,Lower,"Maintenance, HVAC, Renovation, Electrical",4.3
102,"Acosta, Long and Marks","Jamesstad, Reedberg, Michaelchester",Subscription,Lower,"Cleaning, Plumbing, Renovation",4.5
103,Hayes PLC,South Rachelborough,Hourly Rate,Competitive,"Renovation, Electrical, Maintenance, HVAC, Painting",3.7
104,Gonzales-Hernandez,Mcmillanmouth,Hourly Rate,Competitive,Painting,4.5
105,Franklin-Dodson,"Bakertown, Larsonton",Hourly Rate,Competitive,"Renovation, Cleaning, Plumbing, Roofing, HVAC",4.4
106,"Richardson, Torres and Ware","Adamview, New Emily, Charleston",Subscription,Lower,"Plumbing, Painting, Renovation",3.9
107,Decker-Hicks,"West Derekstad, Moranborough, Lake Amy",Hourly Rate,Higher,"Cleaning, Plumbing, Painting",3.4
108,Ware-Mccoy,North Jacquelineton,Subscription,Lower,"HVAC, Electrical",4.6
109,Oconnor Inc,Carpenterview,Project-based,Competitive,"Maintenance, Plumbing, Renovation, HVAC",4.5
110,Ball-Adams,"Tammyside, Shahmouth",Hourly Rate,Competitive,Maintenance,4.4
111,Hill Group,"North Heathershire, North Georgemouth, South Matthewton",Flat Rate,Competitive,"Cleaning, Roofing, HVAC, Plumbing, Painting",3.2
112,"Graves, Haynes and Barrera","Lawrencetown, Fletcherfort",Project-based,Lower,"Renovation, Plumbing, Roofing, Painting",3.9
113,Wilson and Sons,North Keith,Flat Rate,Lower,"Electrical, Roofing, Maintenance, Painting",4.0
114,Olsen Group,"Jenkinsfurt, East Lauraton, Lake Kellytown",Project-based,Competitive,Electrical,3.4
115,Ali Group,East Christopherburgh,Subscription,Higher,Electrical,3.9
116,"Jackson, Watkins and Smith","Port Dylan, Houseburgh",Hourly Rate,Competitive,"Electrical, Roofing, Cleaning, Maintenance",4.6
117,Alvarado Inc,"Krauseville, North Sonya",Hourly Rate,Competitive,"Roofing, HVAC, Plumbing, Cleaning",4.0
118,Price Inc,Cruzborough,Subscription,Higher,"Painting, Renovation, Maintenance",4.5
119,Snow Inc,"Robertfurt, Port Christian",Flat Rate,Competitive,"Renovation, Electrical, Cleaning, Plumbing",4.5
120,"Stewart, Torres and Boyd","Sawyerberg, Lake Christine",Subscription,Higher,"Plumbing, Cleaning",4.3
121,Rogers Ltd,Emilyland,Flat Rate,Higher,"HVAC, Electrical, Cleaning, Maintenance",4.9
122,"Adams, Gibson and Thompson","Lake Sierrafurt, Deniseberg",Project-based,Higher,"Painting, Renovation, Roofing, Plumbing",3.6
123,King-Roberts,"North Mary, Whiteshire, North Lori",Hourly Rate,Competitive,"Roofing, Painting, Cleaning, Renovation",4.2
124,"Dominguez, Schmitt and Rodriguez",Port Natalieport,Flat Rate,Competitive,"HVAC, Painting",3.5
125,Thomas-Harvey,Sandovalview,Flat Rate,Competitive,"Roofing, Electrical, Renovation",4.5
126,"Greene, Taylor and Hernandez","North Timothyburgh, East Jayville, Lake Ericstad",Subscription,Competitive,Electrical,3.3
127,"Fuentes, Skinner and Anderson","Jessicahaven, East Roger, Margaretshire",Flat Rate,Lower,Painting,3.9
128,Lee Inc,Port Michaelville,Project-based,Competitive,Roofing,4.8
129,"Gonzales, Davis and Davis",Watsonport,Flat Rate,Higher,"HVAC, Renovation, Painting",4.9
130,"Lopez, Sparks and Green","North Charles, Jacobburgh, Dawnview",Subscription,Competitive,"Renovation, Plumbing, Roofing",4.2
131,Stevens-Walker,"Christianstad, Billymouth, Mistyville",Flat Rate,Lower,"Electrical, Maintenance, Renovation, HVAC",3.7
132,Fox Inc,"South Jacquelineside, New Jerryberg",Subscription,Higher,"HVAC, Electrical, Cleaning",3.7
133,Ward-Carter,"Morganland, North Troy",Hourly Rate,Competitive,"Painting, Plumbing, Cleaning",3.5
134,Rivas Ltd,"Lake Amanda, Jilltown",Project-based,Higher,"Plumbing, Roofing, HVAC",4.1
135,"Lowe, Smith and Williams",Lewisville,Subscription,Competitive,"Renovation, Plumbing, Roofing",4.5
136,"Garcia, Long and Anderson","Jacksontown, Copelandmouth, South Daniel",Hourly Rate,Lower,"Plumbing, Painting",4.8
137,Bailey-Aguilar,"West Danieltown, Josephton",Project-based,Lower,"Renovation, Painting",4.2
138,"Sims, Rasmussen and Yang",East Felicialand,Project-based,Lower,"Cleaning, HVAC, Painting, Electrical, Roofing",4.6
139,Hayes-Johnson,"New Cheryl, West Jamesbury",Hourly Rate,Higher,"Cleaning, Maintenance",3.9
140,"Carter, Myers and Bishop","Lake Dwayne, New Paulshire",Flat Rate,Lower,"Renovation, Cleaning, Plumbing, Roofing",4.1
141,Neal Group,"Johnview, Hartland",Subscription,Higher,"HVAC, Painting",3.5
142,"Lin, Dominguez and Walls","Port Dominic, North Monica, Patrickburgh",Subscription,Lower,"Roofing, Maintenance, Painting",4.5
143,Jenkins PLC,"Veronicahaven, Lake Robertberg",Hourly Rate,Competitive,"Plumbing, Renovation, Maintenance",4.5
144,Mccarthy PLC,Jennifermouth,Hourly Rate,Higher,"Painting, Electrical, Roofing",3.2
145,Jones-Sanchez,"East Brendashire, Johnshire, Frymouth",Flat Rate,Lower,Electrical,3.5
146,"Smith, Williams and Smith","North Jessica, East Gregory",Subscription,Higher,Painting,3.8
147,"Rodriguez, Murphy and James",East Michael,Hourly Rate,Competitive,HVAC,3.7
148,"Williamson, Graham and Hansen","Rosetown, West Ronald",Hourly Rate,Higher,"Cleaning, Painting, Plumbing",3.3
149,"Pham, Reilly and Carey",Aprilfurt,Hourly Rate,Lower,"Maintenance, Plumbing, Painting, Roofing, Renovation",4.2
150,Jones-Griffith,"Annastad, Lake Sheila, Randyborough",Project-based,Lower,"Plumbing, Painting",3.2
151,"Johnson, Cook and Smith","Lake Scotttown, Port Kathrynberg, New Adrianaview",Flat Rate,Competitive,"HVAC, Renovation, Roofing",4.9
152,Barrett-Meyers,"Ruizchester, East Patricia",Project-based,Higher,"Electrical, HVAC, Renovation, Cleaning",3.4
153,"Moses, Dixon and Parker","Jessicashire, Port Karen",Subscription,Higher,"Maintenance, HVAC",4.3
154,Harrington-Carrillo,"South Jacob, Port Timothyberg, Turnerport",Hourly Rate,Competitive,"Electrical, Cleaning, Plumbing, Maintenance, Renovation",4.6
155,Bailey LLC,Wernerchester,Subscription,Higher,"Cleaning, Renovation, Electrical, HVAC",3.5
156,Nichols-Nixon,Griffithland,Subscription,Competitive,"Maintenance, Electrical, Roofing, Cleaning",3.7
157,Morris-Walker,"Danielfort, East Veronicahaven, Stevensborough",Flat Rate,Competitive,"Maintenance, Cleaning, Roofing, Plumbing",3.0
158,Carr-Smith,"New Gabrielview, North Jill",Flat Rate,Higher,"Maintenance, Roofing, Painting, HVAC",4.0
159,"Anderson, Wong and Koch",South Kaylaland,Hourly Rate,Higher,"Plumbing, Roofing",4.1
160,Holloway-Lewis,"East Crystalchester, East Natalie, Adamsside",Flat Rate,Lower,"Plumbing, Electrical, HVAC",3.2
161,Williams-Williams,"West Anthonyburgh, Lake Williamtown",Subscription,Higher,"Electrical, Painting, Renovation, Maintenance, HVAC",3.8
162,"Mendez, Williams and Anderson","East Bryan, North Brandifurt",Project-based,Lower,Cleaning,3.4
163,"Harvey, Lee and Brown","South Davidton, Angelamouth, South Patricia",Hourly Rate,Higher,"Plumbing, Painting, Roofing, Maintenance, Cleaning",5.0
164,Lawson Group,New Jerome,Subscription,Competitive,"Renovation, Painting",3.9
165,Palmer-Bryan,Patrickfurt,Project-based,Competitive,"Maintenance, Painting, Plumbing",4.2
166,Wall-Contreras,"New Derrick, Danielburgh, East Shannon",Project-based,Lower,"Cleaning, Maintenance, Painting, Renovation, Roofing",4.9
167,Barnett-Ayers,"Lake Ryanville, Turnerburgh, Meganstad",Subscription,Competitive,"HVAC, Electrical, Renovation, Maintenance, Painting",3.7
168,"Moore, Soto and Pearson","Riosside, Port Edwardtown, Muellerland",Subscription,Competitive,"Cleaning, Roofing, Plumbing",4.7
169,Gonzales-Griffin,"Lake Haroldhaven, Wallacefurt, Chambersmouth",Hourly Rate,Competitive,"Painting, HVAC, Roofing, Plumbing",4.7
170,Washington and Sons,"Lake Victor, North Ralphburgh, Williamsmouth",Subscription,Higher,"Maintenance, Electrical",3.2
171,Hamilton-Elliott,Andrewchester,Project-based,Lower,"Maintenance, HVAC, Cleaning",4.0
172,Chambers-Walker,"Lesterton, North Christina, North Rachel",Subscription,Higher,Renovation,3.2
173,Johnson-Simmons,Port Timothyville,Flat Rate,Lower,"HVAC, Renovation, Painting",3.8
174,"Baker, Wilson and Smith","Jenniferland, Amandatown",Project-based,Lower,"Painting, Maintenance, Renovation, HVAC",4.8
175,"Hernandez, Watts and Gonzalez","Port Jenniferburgh, West Vanessaland",Project-based,Lower,Painting,3.5
176,Moore-Hendricks,Browningmouth,Subscription,Lower,"Maintenance, Plumbing, Cleaning, Painting, Renovation",4.7
177,Hicks-Schultz,Robinsonborough,Subscription,Lower,HVAC,3.8
178,Sanchez-Dean,"North Veronica, Dayborough",Hourly Rate,Lower,Painting,3.6
179,Mathews-Johnson,Robertberg,Subscription,Lower,"HVAC, Cleaning, Painting",4.8
180,Hayes-Brennan,"South Mollymouth, Lloydstad",Hourly Rate,Higher,"Painting, Maintenance, HVAC",4.6
181,Terry LLC,West Evan,Project-based,Lower,"Electrical, Cleaning, Plumbing",4.9
182,"Harris, Fuentes and Marshall","North Alexander, Carlshire, Port Lindseybury",Flat Rate,Lower,"Plumbing, Cleaning, HVAC, Maintenance, Roofing",4.5
183,Stevenson Ltd,"South Ericville, Carpenterville, Jensenview",Subscription,Higher,"Cleaning, Painting",3.8
184,"Hicks, Payne and Miller","New Patrickport, Christophermouth",Project-based,Higher,"Renovation, Electrical",4.0
185,Wong-Buchanan,"Millermouth, North Mackenzie, Calvinland",Subscription,Competitive,"Painting, Renovation, Plumbing, Maintenance, HVAC",4.1
186,"Martinez, Daniel and Ware","Martinezview, West Jessica",Subscription,Lower,"HVAC, Renovation, Electrical, Maintenance",4.1
187,"Hopkins, Perry and White","North Shelbyside, South Laurenburgh, Martinezberg",Subscription,Higher,Electrical,4.7
188,"Stafford, Morgan and Anderson","East Julia, Peterburgh, Adamberg",Subscription,Lower,Cleaning,4.7
189,Evans Ltd,Donaldville,Subscription,Competitive,"Painting, Maintenance, Plumbing, Roofing",4.7
190,White PLC,"North Marvin, Port Amanda",Hourly Rate,Lower,"Roofing, Electrical, Painting, HVAC, Renovation",4.3
191,"Walton, Jones and Freeman",South Elizabeth,Project-based,Lower,"Cleaning, HVAC, Roofing",4.7
192,Watts Inc,"Jenkinsmouth, South Brittney",Flat Rate,Higher,"Renovation, Maintenance, Roofing, Electrical, Cleaning",4.5
193,"Wright, Mcdaniel and Rodriguez","Port Tonya, Port Juan, South Heather",Project-based,Higher,"Maintenance, HVAC, Painting",3.5
194,Ramirez-Davis,"North Stacey, Louiston, East Bryanland",Hourly Rate,Competitive,"HVAC, Roofing, Electrical, Cleaning",4.7
195,Walsh-Medina,East Tracymouth,Hourly Rate,Competitive,"Electrical, Roofing",4.6
196,Paul-Ortiz,Sampsonburgh,Flat Rate,Higher,Plumbing,3.9
197,Burns-Lambert,"New Brenda, Gravesshire, Kevinville",Subscription,Lower,"HVAC, Renovation, Roofing, Plumbing",3.8
198,Whitaker Group,"South Steven, North Rachel, Hintonfort",Flat Rate,Higher,"Electrical, Plumbing, Maintenance, Cleaning, Painting",3.3
199,Williams-Edwards,"Henryport, Johnsonbury",Subscription,Higher,"Plumbing, Electrical, Renovation",4.5
200,"Nguyen, Clark and Gomez","Stewartside, Lake Robert, New Lucasmouth",Project-based,Competitive,"Plumbing, Cleaning, Painting",4.5
201,Chen-Morgan,"Josebury, East Jonland, Lopezmouth",Flat Rate,Competitive,"Renovation, Electrical, Plumbing",4.8
202,Jackson-Mcclain,North Douglasstad,Subscription,Higher,"Maintenance, HVAC, Painting",3.5
203,Rodriguez Inc,"East Mollystad, Joshuaborough, Petersport",Hourly Rate,Lower,Painting,4.8
204,Pena-Spence,Port Michael,Hourly Rate,Lower,"Cleaning, Painting",3.7
205,Brewer Group,"West Sarahburgh, West Christopher",Hourly Rate,Lower,Renovation,4.0
206,Moore-Collins,Laurentown,Flat Rate,Lower,"Renovation, Painting, HVAC, Maintenance",4.6
207,Walker and Sons,"Port Johnny, Joannastad",Project-based,Higher,"Painting, Roofing, HVAC, Plumbing, Renovation",4.4
208,Wright LLC,"Harperberg, East Matthewside",Hourly Rate,Lower,"Cleaning, Roofing, Renovation, Maintenance",3.3
209,Cole-Luna,"Michaelfurt, Jayberg",Flat Rate,Competitive,"Maintenance, Roofing, Cleaning, Plumbing",3.7
210,Rodriguez-Torres,"Knoxborough, Grossberg, Johnville",Subscription,Higher,"Electrical, Renovation, Roofing",3.4
211,West-Owens,"Brettmouth, Davidmouth, Williamstad",Hourly Rate,Higher,"Plumbing, Cleaning, Roofing",5.0
212,Wilson Ltd,"Randyville, West Josephmouth, Ballardmouth",Hourly Rate,Competitive,"Roofing, Renovation",3.0
213,"Cruz, Juarez and Wise",North Stanleyfurt,Project-based,Lower,"Renovation, Plumbing, Electrical",4.0
214,Smith and Sons,"Avilachester, East Kellybury, East Wendy",Subscription,Lower,"Renovation, Cleaning, Plumbing",4.0
215,Ellis Ltd,"Port Spencerfort, Garyland, Barkerborough",Flat Rate,Lower,Maintenance,3.1
216,Coleman-Jarvis,"Sandersborough, Isaacton, Lake Sandra",Subscription,Higher,"Roofing, Painting",3.8
217,"Nelson, Robinson and Conrad","Ricardoland, Lake Tracyshire",Flat Rate,Higher,Painting,4.8
218,Perez Group,West Matthewville,Project-based,Higher,"Maintenance, HVAC, Renovation",3.1
219,"Dean, Wood and Miller",Rodriguezmouth,Project-based,Lower,"Electrical, Cleaning, Plumbing, Renovation",3.4
220,Bowman Inc,"Lake Jill, South Ryan, Lake Richardshire",Flat Rate,Competitive,Painting,3.9
221,Figueroa-Turner,"Bauerfurt, West John",Subscription,Lower,"Plumbing, Painting",3.6
222,"Lee, Murphy and Herman","Nicholasland, Lake Leslie, Leeshire",Hourly Rate,Competitive,"Plumbing, Maintenance",4.3
223,Mckinney Group,"Port Jose, East Andrew",Project-based,Higher,Painting,4.6
224,"Phillips, Ewing and Ford","West Ronald, Smithville",Project-based,Lower,"Maintenance, HVAC, Painting, Renovation, Plumbing",4.9
225,Roberts Ltd,"New Shaneland, Patriciaberg",Hourly Rate,Lower,"Plumbing, Painting, Electrical, Cleaning, Maintenance",3.6
226,"Mayo, Guerrero and Lee","Port Timothymouth, New Danielle",Flat Rate,Lower,"HVAC, Roofing",4.2
227,Hopkins-Lopez,"Reedtown, East Ryanshire",Flat Rate,Lower,"Maintenance, Cleaning, Plumbing",3.2
228,Carter-Wright,"Brandonside, Lake Juliafort",Project-based,Lower,"Electrical, Painting, Renovation",4.3
229,Brown LLC,"Lauraland, Heatherhaven, Barnetttown",Project-based,Higher,"HVAC, Cleaning, Painting, Roofing",4.7
230,Cooper LLC,"Davisstad, North Emily, West Randall",Hourly Rate,Higher,HVAC,4.3
231,Galloway PLC,"Bonnieside, Vincenthaven",Hourly Rate,Competitive,"HVAC, Renovation, Roofing",3.4
232,Phillips LLC,"Roseshire, Jonathanstad, Gabriellastad",Project-based,Competitive,"Electrical, HVAC, Roofing, Cleaning, Plumbing",3.4
233,Camacho-Knight,Christensenfort,Project-based,Higher,"Cleaning, Renovation, Roofing, Plumbing",4.3
234,"Jordan, Carlson and Michael",South Danielchester,Flat Rate,Lower,"Roofing, Cleaning",4.6
235,Cochran and Sons,Stoutland,Hourly Rate,Lower,"Cleaning, Painting, Electrical, HVAC",3.6
236,Garrett-Alexander,East Shaneborough,Subscription,Competitive,"Plumbing, Painting, Cleaning, HVAC, Renovation",3.9
237,Brown-Reyes,Kennethstad,Subscription,Lower,"Painting, Renovation, Plumbing",3.8
238,Campbell PLC,Alejandrofurt,Subscription,Lower,"HVAC, Renovation",3.0
