Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards
19,"612 Cynthia Summit
East Gary, MD 50862",9499,21,Residential,9,Poor,Brick,"Sprinklers, Alarms, Extinguishers","Ramps, None",Window care act.,Office,Vacant,None
20,"2257 Shannon Stream Suite 336
West Diana, NV 20625",5912,53,Commercial,6,Poor,Wood,"Alarms, Extinguishers","Wide Doorways, Elevator, Ramps",Court structure.,Residential,Occupied,Lead Paint
21,"531 Emily Mountain Suite 845
East Williamview, WA 93190",9794,10,Residential,2,Good,Concrete,"Alarms, Sprinklers, Extinguishers","None, Ramps, Elevator, Wide Doorways",Professor argue.,Residential,Vacant,None
22,"390 Christina Mills
Rogershaven, WA 47819",9981,61,Industrial,7,Poor,Steel,"Alarms, Extinguishers",Elevator,Less beat design.,Warehouse,Occupied,Lead Paint
23,"Unit 7832 Box 6539
DPO AA 46656",6852,16,Residential,1,Excellent,Steel,Alarms,None,Your share but.,Warehouse,Occupied,Mold
24,"34392 Michael Park
North Jacobstad, ND 95056",4946,38,Residential,4,Poor,Brick,"Extinguishers, Sprinklers, Alarms","Elevator, Wide Doorways, None, Ramps",Still into.,Warehouse,Occupied,Lead Paint
25,"76663 Davis Ports Apt. 360
Stevenstad, NV 21905",8709,39,Commercial,7,Good,Concrete,Extinguishers,"Wide Doorways, Ramps, None, Elevator",Get degree purpose.,Retail,Occupied,None
26,"61565 Garrett Meadows Apt. 588
Lake Tina, AL 12610",691,44,Industrial,2,Fair,Steel,Sprinklers,"Ramps, None, Wide Doorways",Amount available.,Residential,Vacant,None
27,"861 Fitzgerald Cliffs Suite 760
Craigside, WA 12911",6344,51,Commercial,9,Fair,Concrete,"Extinguishers, Alarms, Sprinklers","None, Ramps, Wide Doorways, Elevator",Here list.,Residential,Occupied,None
28,"0328 Powell Underpass Apt. 019
Murphyville, FL 45369",1583,70,Commercial,2,Good,Brick,"Alarms, Sprinklers",Elevator,None,Warehouse,Occupied,Asbestos
29,"2156 Luis Mission Apt. 085
Petersonshire, AZ 51190",8467,55,Industrial,1,Excellent,Wood,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Warehouse,Occupied,Mold
30,"390 Mathew Grove
Lake Jennifer, IL 12420",9820,27,Residential,6,Excellent,Concrete,"Extinguishers, Sprinklers, Alarms","Ramps, None, Wide Doorways, Elevator",None,Retail,Vacant,Mold
31,"610 Jennifer Manors
North Cherylville, KY 02489",6694,19,Residential,1,Poor,Steel,"Extinguishers, Sprinklers","Wide Doorways, Elevator, Ramps",Whose shake interesting.,Warehouse,Occupied,Asbestos
32,"37650 Salazar Branch Suite 947
Port Jessicamouth, RI 86550",4140,77,Residential,9,Good,Wood,"Extinguishers, Alarms","None, Wide Doorways, Ramps",None,Office,Vacant,None
33,"78572 Hays Manors
Melissamouth, MI 90091",6049,94,Industrial,1,Excellent,Wood,Extinguishers,None,None,Retail,Occupied,Asbestos
34,"367 April Ford Apt. 554
Gillfort, AR 05334",2998,18,Industrial,5,Excellent,Brick,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Residential,Occupied,Asbestos
35,"62245 Joe Club
South Nathan, NE 93499",5441,75,Residential,9,Excellent,Wood,"Alarms, Sprinklers, Extinguishers","Wide Doorways, Ramps",None,Office,Vacant,Asbestos
36,"2927 Kathleen Plaza
East Dawn, ME 45350",2886,46,Industrial,5,Good,Wood,Sprinklers,"Wide Doorways, None",Never fear.,Warehouse,Vacant,None
37,"USNV Benjamin
FPO AA 86676",8897,23,Commercial,4,Excellent,Concrete,Extinguishers,"Ramps, None, Elevator, Wide Doorways",None,Warehouse,Occupied,None
38,"26429 Mark Ranch
Lake Nicole, NH 67241",3692,67,Industrial,10,Excellent,Concrete,"Alarms, Sprinklers, Extinguishers","Ramps, None, Wide Doorways, Elevator",None,Residential,Vacant,None
39,"2113 Baldwin Mountains Suite 285
Port Cassandra, OK 16053",4979,23,Residential,5,Excellent,Steel,"Alarms, Extinguishers","Ramps, Wide Doorways, None",None,Office,Vacant,None
40,"36362 Miller Lodge Apt. 853
Davidland, AK 31652",786,91,Commercial,5,Poor,Concrete,Sprinklers,"Wide Doorways, None, Ramps, Elevator",None,Retail,Vacant,None
41,"48549 Good Landing Suite 975
West Patrick, FL 36068",3379,28,Residential,1,Fair,Brick,"Alarms, Extinguishers",Wide Doorways,None,Warehouse,Vacant,None
42,"402 Marie Street Apt. 768
Perryport, MS 52113",9396,95,Residential,2,Poor,Brick,Extinguishers,"Elevator, None, Ramps, Wide Doorways",None,Warehouse,Occupied,Lead Paint
43,"444 Sean Lodge
South Amandaburgh, MS 86216",4177,100,Residential,4,Good,Wood,Sprinklers,Ramps,None,Office,Vacant,None
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint
45,"263 Sherry Manors
Port Kellyton, LA 72977",9668,66,Residential,6,Excellent,Brick,"Alarms, Extinguishers","Ramps, Wide Doorways, None",None,Residential,Vacant,None
46,"51492 Newton Prairie
Kevinborough, RI 41084",5379,37,Residential,4,Good,Steel,"Sprinklers, Extinguishers, Alarms","None, Ramps, Wide Doorways",None,Retail,Vacant,None
47,"132 Robinson Prairie
Collinsstad, IN 84368",1651,65,Industrial,4,Poor,Steel,"Sprinklers, Alarms, Extinguishers",None,None,Residential,Vacant,None
48,"91872 Dudley Overpass Suite 366
Howellside, NV 98342",1566,12,Residential,4,Excellent,Brick,"Sprinklers, Alarms","None, Elevator, Wide Doorways, Ramps",None,Office,Vacant,Mold
49,"4370 Fox Fall
South Anthonymouth, AL 81281",9716,21,Commercial,7,Good,Wood,"Extinguishers, Alarms",Ramps,Bar against.,Office,Vacant,Lead Paint
50,"7099 Hill Estates
Millertown, ME 08668",7044,42,Residential,8,Excellent,Steel,Extinguishers,"Ramps, Wide Doorways, Elevator",Fight western.,Office,Vacant,None
51,"14305 Laura Squares
Douglasbury, SC 99211",1370,94,Industrial,9,Good,Concrete,"Sprinklers, Alarms, Extinguishers","None, Wide Doorways, Elevator",None,Warehouse,Vacant,None
52,"17420 Newton Mission Suite 623
New Leonardmouth, VA 64668",2232,93,Commercial,7,Fair,Concrete,"Alarms, Extinguishers","Wide Doorways, Elevator, None, Ramps",None,Warehouse,Vacant,None
53,"78829 Luis Pine Suite 134
Chambersville, UT 98849",8305,79,Residential,5,Good,Steel,"Extinguishers, Sprinklers","None, Wide Doorways, Ramps, Elevator",None,Warehouse,Occupied,None
54,"40995 Adam Road
East Racheltown, WV 91677",5216,43,Commercial,7,Good,Wood,"Sprinklers, Alarms","Wide Doorways, None",Visit generation responsibility.,Warehouse,Vacant,None
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None
56,"4911 Cantu Rest Suite 095
New Lisaville, KY 32503",4943,92,Residential,6,Fair,Steel,"Alarms, Extinguishers, Sprinklers","Wide Doorways, Elevator",Laugh strategy treatment.,Retail,Vacant,Asbestos
57,"973 Derek Ford
Alvarezside, NJ 99569",4774,18,Commercial,4,Poor,Steel,"Alarms, Extinguishers, Sprinklers","Ramps, Elevator, None, Wide Doorways",Lawyer edge then.,Residential,Occupied,None
58,"235 Dorothy Pine
Lake Kathleen, MO 10632",1655,97,Residential,6,Excellent,Concrete,"Alarms, Extinguishers, Sprinklers","Wide Doorways, Elevator, Ramps",Even go center.,Residential,Vacant,None
59,"6698 Kevin Tunnel Suite 329
South Veronicamouth, AR 13866",1646,23,Industrial,8,Good,Wood,Extinguishers,"Ramps, Elevator, None, Wide Doorways",My less.,Residential,Vacant,Mold
60,"43139 Johnson Forest Apt. 042
South Yesenia, SD 33061",9053,25,Commercial,3,Good,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,None,Office,Vacant,None
61,"267 Vang Knolls Suite 594
Robertaville, NM 78828",4359,48,Commercial,2,Poor,Concrete,Extinguishers,Wide Doorways,None,Warehouse,Occupied,None
62,"77121 Lauren Cliff
North Alexandra, RI 05544",6879,9,Residential,10,Fair,Wood,"Alarms, Extinguishers, Sprinklers",Ramps,None,Retail,Vacant,Mold
63,"0744 Ware Crescent
New Timothy, PA 47440",7766,50,Industrial,7,Good,Brick,Sprinklers,Elevator,Certainly fly.,Residential,Occupied,Asbestos
64,"8019 Cline Loop Suite 476
New Patricia, VA 57307",6532,9,Residential,5,Good,Wood,"Extinguishers, Sprinklers, Alarms",Ramps,None,Retail,Occupied,None
65,"53279 Barnes Cliff Suite 834
Lake Jessica, NE 02713",7641,82,Commercial,1,Excellent,Steel,Sprinklers,"Ramps, Elevator, Wide Doorways, None",Test end.,Office,Occupied,Asbestos
66,"9062 White Cove Suite 758
Loganbury, OK 91520",1511,39,Residential,3,Fair,Concrete,Extinguishers,Elevator,Single.,Residential,Occupied,Asbestos
67,"12750 Marsh Mountain Suite 397
Lopezmouth, CA 30045",7225,3,Residential,4,Poor,Steel,"Extinguishers, Alarms","Ramps, Wide Doorways, Elevator",Result wind without.,Residential,Occupied,None
68,"25231 Hughes Summit
West Angelaville, AK 55005",7579,27,Residential,1,Excellent,Wood,Alarms,"Elevator, None, Ramps",None,Residential,Occupied,None
69,"USNS Hooper
FPO AA 54641",8345,68,Residential,7,Fair,Brick,"Alarms, Extinguishers","Wide Doorways, Ramps, Elevator",Environmental else fire.,Office,Occupied,None
70,"6655 Bishop Well
Jessicafurt, MD 99376",519,5,Industrial,10,Fair,Wood,"Extinguishers, Alarms","Wide Doorways, Elevator, Ramps",None,Warehouse,Vacant,Lead Paint
71,"391 Hensley Hill
Debbieport, NC 77523",4687,59,Industrial,7,Fair,Steel,"Alarms, Sprinklers","None, Wide Doorways, Elevator, Ramps",Center.,Retail,Vacant,Mold
72,"58536 Griffith Plain Suite 513
Powersport, UT 70535",7371,36,Residential,4,Poor,Steel,"Sprinklers, Alarms",None,None,Residential,Occupied,None
73,"9568 Lisa Freeway
Annabury, ND 75119",8174,42,Commercial,4,Good,Wood,Alarms,Elevator,Interest parent.,Retail,Vacant,None
74,"7368 Sarah Shoals
Lamberthaven, TX 97739",4702,85,Commercial,8,Good,Steel,"Sprinklers, Extinguishers","Wide Doorways, None",Have herself nearly.,Retail,Occupied,Lead Paint
75,"026 Jason Summit
South Patricia, OH 22986",2914,76,Residential,9,Excellent,Concrete,"Alarms, Sprinklers, Extinguishers","Ramps, Elevator, Wide Doorways, None",Great rate probably.,Warehouse,Occupied,None
76,"739 Tiffany Place
Torresview, OK 78713",1657,52,Commercial,1,Fair,Steel,"Alarms, Extinguishers","None, Wide Doorways, Elevator",Risk mother side.,Residential,Occupied,Mold
77,"587 Serrano Prairie Apt. 157
Kevinside, NC 25944",6853,8,Residential,9,Excellent,Steel,"Alarms, Sprinklers","Elevator, None",None,Retail,Vacant,Asbestos
78,"3465 Donna Rapids
Port Anthonyland, WY 36619",4442,92,Industrial,5,Poor,Concrete,"Sprinklers, Extinguishers, Alarms","Wide Doorways, Ramps",Respond quite ability.,Office,Occupied,None
79,"4092 Wilson Tunnel
Harrisonton, VA 98039",7086,1,Residential,10,Poor,Brick,Sprinklers,Wide Doorways,None,Warehouse,Occupied,None
80,"96995 Jordan Turnpike Apt. 716
Williamchester, IN 57790",2899,6,Commercial,4,Excellent,Steel,Sprinklers,"None, Wide Doorways, Elevator",Cut arm already.,Warehouse,Occupied,Mold
81,"9401 Werner Mountains
New Brittany, WA 58145",9194,2,Commercial,1,Poor,Wood,"Extinguishers, Alarms",Elevator,None,Warehouse,Vacant,None
82,"056 Jose Avenue
Latashaport, AR 74659",5048,29,Commercial,3,Poor,Steel,Extinguishers,"None, Wide Doorways, Ramps",Business need.,Retail,Occupied,Mold
83,"Unit 3029 Box 6407
DPO AA 12635",2538,6,Commercial,4,Poor,Wood,"Sprinklers, Alarms","Elevator, None, Ramps, Wide Doorways",None,Office,Occupied,None
84,"670 Garcia Streets Suite 745
Anthonyburgh, MN 39024",3828,95,Residential,5,Fair,Wood,Alarms,"Elevator, Ramps, Wide Doorways",None,Office,Vacant,Asbestos
85,"59337 Matthew Springs Apt. 490
Tuckerstad, NC 91079",7615,24,Residential,8,Good,Steel,"Extinguishers, Sprinklers, Alarms","Elevator, None, Ramps, Wide Doorways",None,Warehouse,Vacant,Asbestos
86,"PSC 1768, Box 2717
APO AP 09322",9625,21,Commercial,6,Good,Brick,"Extinguishers, Alarms, Sprinklers","Wide Doorways, Elevator, None, Ramps",Analysis.,Retail,Occupied,Mold
87,"691 Jessica Freeway
Jeffreymouth, WV 87920",3022,6,Commercial,9,Excellent,Brick,"Extinguishers, Alarms",Wide Doorways,Nation eight.,Warehouse,Occupied,None
88,"83831 Butler Landing Suite 100
North Meganhaven, TN 74492",8384,6,Industrial,6,Poor,Concrete,Extinguishers,Elevator,None,Warehouse,Vacant,None
89,"17370 Christopher Road Apt. 081
East Gabrielmouth, CT 74811",4414,33,Industrial,9,Good,Steel,Extinguishers,None,None,Residential,Occupied,None
90,"0880 Phillips Rest Suite 584
Hollowaymouth, NM 64908",2793,98,Commercial,6,Excellent,Steel,Extinguishers,Ramps,Pretty coach understand.,Warehouse,Occupied,None
91,"1156 Andrew Groves Suite 072
Johnsonstad, VT 43166",8292,22,Industrial,8,Good,Wood,"Alarms, Extinguishers","Elevator, Wide Doorways",None,Retail,Occupied,None
92,"132 Glen Plaza Suite 442
North Claudia, MN 16735",1056,48,Commercial,8,Poor,Wood,Alarms,"None, Wide Doorways, Ramps",None,Warehouse,Occupied,None
93,"1702 Sharon Road Suite 012
Jenniferview, DC 88462",2447,73,Industrial,8,Poor,Wood,"Sprinklers, Alarms",Elevator,Leg decade.,Residential,Vacant,Mold
94,"706 Flynn Lights
Lewismouth, AR 19020",9488,2,Industrial,9,Excellent,Steel,"Extinguishers, Sprinklers, Alarms",Ramps,How student account.,Residential,Vacant,Lead Paint
95,"46900 Kelsey Mountain Suite 729
North Madison, OK 46641",5176,96,Commercial,2,Good,Concrete,"Alarms, Extinguishers, Sprinklers","Ramps, None, Wide Doorways, Elevator",Discuss adult data.,Retail,Occupied,Mold
96,"2301 Gregory Shores Apt. 372
Stephenland, VA 92365",797,39,Industrial,10,Fair,Concrete,"Alarms, Sprinklers",Wide Doorways,None,Retail,Occupied,None
97,"1604 Teresa Expressway Suite 515
Kimberlyborough, MS 08612",9485,7,Commercial,5,Good,Concrete,"Alarms, Sprinklers, Extinguishers","None, Elevator, Ramps",Better mother begin.,Warehouse,Occupied,Asbestos
98,"0376 Whitney Lodge
Lake Christina, NE 91523",6012,18,Residential,8,Fair,Concrete,"Extinguishers, Alarms, Sprinklers","Elevator, None, Ramps",None,Retail,Occupied,Lead Paint
99,"169 Jennifer Summit
Carrollport, DC 02911",5522,1,Commercial,2,Fair,Brick,"Extinguishers, Alarms, Sprinklers","Ramps, Elevator, Wide Doorways, None",Program upon a.,Retail,Vacant,None
100,"738 Julie Grove
East Aliciaburgh, WA 56168",5136,10,Residential,4,Poor,Concrete,Alarms,None,None,Retail,Vacant,None
101,"3458 James Glens
East Amandaberg, ND 15734",7573,15,Residential,1,Good,Steel,Extinguishers,None,Cultural in spend.,Retail,Occupied,None
102,"74071 Austin Manors
Zacharyfurt, NM 77821",4288,47,Commercial,6,Fair,Concrete,"Sprinklers, Alarms","Elevator, None, Ramps",None,Residential,Occupied,None
103,"9877 Montgomery Cliffs Suite 594
Fergusonchester, WV 57823",3540,77,Industrial,3,Poor,Concrete,"Alarms, Extinguishers",Wide Doorways,Later.,Retail,Vacant,None
104,"600 Kara Summit Suite 928
Jacquelineside, MD 46071",9976,100,Commercial,4,Good,Concrete,Sprinklers,Ramps,Rich to.,Retail,Occupied,Asbestos
105,"26466 Tanner Unions Apt. 881
New Corey, AZ 77127",5693,80,Commercial,4,Excellent,Concrete,Sprinklers,"Wide Doorways, None",None,Office,Vacant,Lead Paint
106,"USCGC Grimes
FPO AA 31876",9260,98,Commercial,2,Excellent,Concrete,Extinguishers,"None, Wide Doorways, Elevator",None,Office,Vacant,None
107,"53117 Boone Fork Suite 863
Lake Douglas, ME 75196",3371,34,Commercial,8,Poor,Concrete,"Extinguishers, Sprinklers","Ramps, Elevator, None",None,Retail,Vacant,Lead Paint
108,"7599 Green Gardens
South Patrickland, SC 91965",5209,97,Commercial,4,Fair,Wood,Extinguishers,"None, Wide Doorways, Ramps, Elevator",Five himself training.,Retail,Vacant,None
109,"2672 Sandra Circles
South Saraville, MI 16251",9347,16,Commercial,5,Poor,Concrete,"Sprinklers, Alarms","Ramps, Wide Doorways, None",None,Residential,Occupied,None
110,"906 Kelsey Village
Peterview, NY 73419",3381,64,Commercial,3,Fair,Brick,"Alarms, Sprinklers, Extinguishers","Elevator, Wide Doorways",None,Retail,Occupied,None
111,"207 Dennis Neck Apt. 241
Henryshire, DE 96046",4868,38,Commercial,6,Good,Concrete,Extinguishers,Wide Doorways,While check natural note.,Residential,Occupied,None
112,"36938 Gregory Isle
Morrisberg, DC 03366",6675,48,Industrial,1,Fair,Concrete,Sprinklers,"None, Ramps, Elevator",Apply protect pattern provide.,Retail,Occupied,None
113,"8655 Washington Pass
Cookton, ME 08029",4471,77,Industrial,4,Good,Wood,"Extinguishers, Sprinklers, Alarms","None, Wide Doorways, Elevator, Ramps",Window one.,Warehouse,Occupied,None
114,"21771 Robinson Village
Salinasview, IA 99222",9985,44,Industrial,10,Poor,Brick,"Extinguishers, Sprinklers","Elevator, Wide Doorways, Ramps, None",None,Warehouse,Vacant,Asbestos
115,"77970 Warren Motorway
North Lindseyview, CT 92471",5360,18,Residential,10,Fair,Steel,"Alarms, Sprinklers","Wide Doorways, None, Elevator",Plan western.,Retail,Occupied,None
116,"3477 Susan Port Apt. 797
Heatherburgh, GA 95267",1958,62,Commercial,2,Poor,Brick,Sprinklers,"Ramps, None, Wide Doorways, Elevator",Somebody safe public get.,Residential,Occupied,Lead Paint
117,"20055 Chaney Wall
Lake Timothy, NJ 45648",3668,63,Commercial,7,Poor,Concrete,"Sprinklers, Alarms",Elevator,Wall both amount.,Warehouse,Vacant,None
118,"Unit 6396 Box 4534
DPO AA 31446",7161,81,Residential,10,Good,Brick,Alarms,None,None,Residential,Occupied,None
119,"0763 Irwin Alley Suite 367
North Donald, WA 10766",9244,42,Industrial,5,Poor,Concrete,"Sprinklers, Extinguishers","Elevator, Ramps, Wide Doorways, None",Production size.,Retail,Occupied,None
120,"04508 Brittany Burg
Flynnville, NH 84246",5540,23,Residential,9,Fair,Wood,"Extinguishers, Alarms, Sprinklers","Elevator, Ramps",May include forget.,Warehouse,Vacant,None
121,"5632 Shepard Bridge
Lake Lawrence, KY 84865",7725,47,Industrial,6,Good,Brick,Alarms,"Elevator, Wide Doorways",None,Residential,Vacant,None
122,"575 Joshua Streets
Saraberg, CA 83280",1672,6,Industrial,3,Fair,Wood,Sprinklers,None,None,Office,Occupied,None
123,"9847 Morales Underpass
Ronaldmouth, TX 58957",6669,83,Residential,3,Fair,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,Enjoy general together.,Residential,Occupied,Lead Paint
124,"3034 Stokes Shore Apt. 803
Lake Anthony, RI 66175",2334,86,Residential,6,Fair,Wood,"Extinguishers, Sprinklers","None, Elevator, Ramps",None,Office,Occupied,Mold
125,"38209 Davis Parkway Apt. 969
Robinsonfurt, WA 38012",4339,27,Industrial,4,Good,Brick,"Extinguishers, Alarms","Ramps, Wide Doorways, Elevator",None,Office,Vacant,Lead Paint
126,"0160 Castro Drives
South Jeffreyside, KS 03000",859,76,Industrial,8,Fair,Brick,Extinguishers,"Ramps, Wide Doorways, Elevator, None",Admit learn.,Residential,Occupied,Mold
127,"558 Wright Grove
Martinbury, CA 77940",1153,16,Industrial,1,Poor,Steel,"Extinguishers, Alarms, Sprinklers","Wide Doorways, Ramps, Elevator",Style will cut.,Warehouse,Occupied,Asbestos
128,"30594 Nina Trafficway
Danielshire, AR 06014",2765,29,Residential,8,Poor,Concrete,"Extinguishers, Alarms","Ramps, Elevator",Million.,Retail,Occupied,Lead Paint
129,"8123 Pace Harbors
New Gary, PA 24201",7243,34,Commercial,9,Excellent,Wood,"Sprinklers, Alarms","Ramps, None, Elevator",Style both soldier.,Office,Occupied,Asbestos
130,"389 Nicole Drive Suite 992
Port Claytonfort, MN 72564",5736,83,Commercial,6,Excellent,Wood,"Sprinklers, Alarms",Wide Doorways,None,Residential,Vacant,None
131,"27614 Carson Islands Suite 010
Port Jessicahaven, DE 57088",5469,77,Residential,2,Excellent,Wood,Sprinklers,"Ramps, None",Outside sure population affect.,Warehouse,Vacant,None
132,"83256 Stephanie Ports
Lake Samantha, IA 28504",6123,49,Industrial,4,Poor,Concrete,"Alarms, Extinguishers, Sprinklers","Elevator, Wide Doorways",None,Retail,Occupied,Lead Paint
133,"1767 Brown Islands Suite 168
Trevortown, IA 70358",6060,31,Industrial,4,Poor,Concrete,Extinguishers,"None, Wide Doorways, Elevator",None,Office,Vacant,None
134,"97434 Steele Field
Duarteburgh, KS 30466",2185,60,Industrial,7,Good,Concrete,Sprinklers,Wide Doorways,Buy certainly.,Retail,Vacant,None
135,"USNS Watson
FPO AE 41569",8800,41,Industrial,7,Good,Concrete,"Extinguishers, Sprinklers, Alarms","Wide Doorways, None",None,Warehouse,Vacant,Lead Paint
136,"2904 Graham Orchard Suite 776
North Melissaberg, NH 31938",9950,94,Residential,5,Fair,Steel,Extinguishers,"Elevator, None, Wide Doorways, Ramps",None,Office,Vacant,None
137,"Unit 4959 Box 5206
DPO AP 03995",8918,100,Industrial,4,Excellent,Steel,"Extinguishers, Alarms",Ramps,Team.,Office,Occupied,None
138,"79343 Cooper Common Apt. 963
South Pam, VT 51564",9865,24,Industrial,10,Poor,Concrete,"Extinguishers, Sprinklers, Alarms","Wide Doorways, None, Ramps, Elevator",Reflect without.,Office,Occupied,Asbestos
139,"0204 Daniel Ranch Apt. 199
South Amystad, CA 09625",6888,20,Residential,8,Good,Steel,"Extinguishers, Alarms","Elevator, None, Ramps",Until deal.,Retail,Vacant,None
140,"134 Natasha Crest Apt. 640
Bishopshire, NM 63704",856,61,Residential,6,Excellent,Steel,"Alarms, Extinguishers, Sprinklers",Elevator,Need.,Office,Vacant,Asbestos
141,"USS Glass
FPO AE 78471",5133,29,Industrial,1,Good,Concrete,Extinguishers,"Ramps, None, Elevator",None,Office,Occupied,None
142,"2874 Rodriguez Crescent Apt. 939
Phelpschester, WV 99525",8232,5,Industrial,3,Excellent,Brick,Sprinklers,"None, Elevator, Ramps",Bit body sure.,Residential,Vacant,None
143,"0877 Shelton Burg
Levinemouth, AZ 21786",9675,52,Industrial,9,Good,Steel,"Sprinklers, Alarms",Wide Doorways,None,Office,Occupied,None
144,"660 Lopez Meadow Suite 104
Mariahmouth, AK 55698",1780,45,Residential,8,Excellent,Wood,Extinguishers,"Wide Doorways, Elevator",Might something sound.,Warehouse,Occupied,Lead Paint
145,"77730 Woodard Manors
North Carolyn, DE 87071",4401,22,Industrial,5,Poor,Steel,"Alarms, Extinguishers","Wide Doorways, Ramps",None,Warehouse,Occupied,Mold
146,"6158 Gonzalez Run Apt. 477
Normanburgh, WY 51444",6498,99,Industrial,1,Good,Steel,"Sprinklers, Extinguishers, Alarms",Ramps,Matter sister.,Office,Vacant,None
147,"8164 Alexander Village Apt. 283
Cassandrashire, OR 18341",9278,4,Residential,10,Good,Wood,"Extinguishers, Sprinklers","None, Wide Doorways",Space loss technology.,Retail,Occupied,Mold
148,"596 Byrd Fords Apt. 600
North Travis, ME 18142",5395,92,Residential,2,Poor,Concrete,"Alarms, Sprinklers, Extinguishers","Elevator, Ramps",None,Warehouse,Occupied,None
149,"00819 Nelson Harbor Apt. 808
Flemingview, TN 11577",8197,81,Industrial,6,Fair,Concrete,"Alarms, Extinguishers",Elevator,Least baby particular.,Retail,Occupied,None
150,"9163 Cory Turnpike
Samanthaville, SC 76108",2038,21,Residential,6,Fair,Wood,"Alarms, Extinguishers",Ramps,None,Office,Occupied,Mold
