Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards,Inspection ID,Date of Last Inspection,Inspection Results,Identified Issues,Compliance Status,Quote ID,Service Required,Service Cost,Date of Quote,Region,Time Taken to Generate Quote,Quote Expiry Date,Quote Closure Status,Has Alarms,Has Sprinklers,Has Extinguishers
29,"2156 Luis Mission Apt. 085
Petersonshire, AZ 51190",8467,55,Industrial,1,Excellent,Wood,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Warehouse,Occupied,Mold,18450.0,2024-01-08,Passed,Great fight whom indeed produce left.,Non-compliant,22707.0,Interior Painting,1310.21,2024-01-15,East Emilymouth,5 days,2025-01-04,Closed,1,1,1
32,"37650 Salazar Branch Suite 947
Port Jessicamouth, RI 86550",4140,77,Residential,9,Good,Wood,"Extinguishers, Alarms","None, Wide Doorways, Ramps",None,Office,Vacant,None,13769.0,2022-12-02,Passed,Expert them drug.,Compliant,43806.0,Roof Repair,1478.07,2023-10-25,Fernandoside,7 days,2024-12-16,Expired,1,0,1
34,"367 April Ford Apt. 554
Gillfort, AR 05334",2998,18,Industrial,5,Excellent,Brick,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Residential,Occupied,Asbestos,25698.0,2021-09-30,Failed,None,Non-compliant,40139.0,Roof Repair,1533.92,2024-07-06,North Maryview,3 days,2025-07-21,Expired,1,1,1
34,"367 April Ford Apt. 554
Gillfort, AR 05334",2998,18,Industrial,5,Excellent,Brick,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Residential,Occupied,Asbestos,30238.0,2022-11-17,Failed,None,Compliant,40139.0,Roof Repair,1533.92,2024-07-06,North Maryview,3 days,2025-07-21,Expired,1,1,1
34,"367 April Ford Apt. 554
Gillfort, AR 05334",2998,18,Industrial,5,Excellent,Brick,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Residential,Occupied,Asbestos,34834.0,2024-07-04,Passed,Treat Republican happen threat father.,Compliant,40139.0,Roof Repair,1533.92,2024-07-06,North Maryview,3 days,2025-07-21,Expired,1,1,1
34,"367 April Ford Apt. 554
Gillfort, AR 05334",2998,18,Industrial,5,Excellent,Brick,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Residential,Occupied,Asbestos,41667.0,2023-02-10,Passed with minor issues,None,Non-compliant,40139.0,Roof Repair,1533.92,2024-07-06,North Maryview,3 days,2025-07-21,Expired,1,1,1
37,"USNV Benjamin
FPO AA 86676",8897,23,Commercial,4,Excellent,Concrete,Extinguishers,"Ramps, None, Elevator, Wide Doorways",None,Warehouse,Occupied,None,31241.0,2022-03-23,Failed,None,Compliant,44894.0,Electrical Work,867.39,2024-06-21,Natalieburgh,3 days,2025-04-21,Pending,0,0,1
37,"USNV Benjamin
FPO AA 86676",8897,23,Commercial,4,Excellent,Concrete,Extinguishers,"Ramps, None, Elevator, Wide Doorways",None,Warehouse,Occupied,None,36345.0,2022-10-10,Passed with minor issues,Tough small protect water.,Compliant,44894.0,Electrical Work,867.39,2024-06-21,Natalieburgh,3 days,2025-04-21,Pending,0,0,1
37,"USNV Benjamin
FPO AA 86676",8897,23,Commercial,4,Excellent,Concrete,Extinguishers,"Ramps, None, Elevator, Wide Doorways",None,Warehouse,Occupied,None,39197.0,2023-10-07,Passed with minor issues,Thing almost own decide lead foreign analysis.,Compliant,44894.0,Electrical Work,867.39,2024-06-21,Natalieburgh,3 days,2025-04-21,Pending,0,0,1
39,"2113 Baldwin Mountains Suite 285
Port Cassandra, OK 16053",4979,23,Residential,5,Excellent,Steel,"Alarms, Extinguishers","Ramps, Wide Doorways, None",None,Office,Vacant,None,43791.0,2022-11-05,Failed,This these heart.,Non-compliant,29597.0,HVAC Installation,4470.49,2024-02-02,Michaelfort,4 days,2025-07-20,Closed,1,0,1
40,"36362 Miller Lodge Apt. 853
Davidland, AK 31652",786,91,Commercial,5,Poor,Concrete,Sprinklers,"Wide Doorways, None, Ramps, Elevator",None,Retail,Vacant,None,4062.0,2022-06-13,Failed,None,Non-compliant,28255.0,Interior Painting,2464.03,2023-10-20,East Robert,7 days,2025-05-16,Expired,0,1,0
40,"36362 Miller Lodge Apt. 853
Davidland, AK 31652",786,91,Commercial,5,Poor,Concrete,Sprinklers,"Wide Doorways, None, Ramps, Elevator",None,Retail,Vacant,None,23886.0,2022-07-04,Passed with minor issues,Argue hit success.,Non-compliant,28255.0,Interior Painting,2464.03,2023-10-20,East Robert,7 days,2025-05-16,Expired,0,1,0
41,"48549 Good Landing Suite 975
West Patrick, FL 36068",3379,28,Residential,1,Fair,Brick,"Alarms, Extinguishers",Wide Doorways,None,Warehouse,Vacant,None,24769.0,2022-12-16,Passed,None,Compliant,16004.0,Interior Painting,2056.1,2024-06-11,West Yvonnefurt,5 days,2025-04-16,Converted,1,0,1
41,"48549 Good Landing Suite 975
West Patrick, FL 36068",3379,28,Residential,1,Fair,Brick,"Alarms, Extinguishers",Wide Doorways,None,Warehouse,Vacant,None,24769.0,2022-12-16,Passed,None,Compliant,31863.0,HVAC Installation,2723.39,2023-12-27,New Karen,1 days,2025-03-15,Expired,1,0,1
41,"48549 Good Landing Suite 975
West Patrick, FL 36068",3379,28,Residential,1,Fair,Brick,"Alarms, Extinguishers",Wide Doorways,None,Warehouse,Vacant,None,24769.0,2022-12-16,Passed,None,Compliant,45121.0,Interior Painting,3686.59,2023-12-15,Charlesburgh,3 days,2024-09-27,Converted,1,0,1
43,"444 Sean Lodge
South Amandaburgh, MS 86216",4177,100,Residential,4,Good,Wood,Sprinklers,Ramps,None,Office,Vacant,None,16355.0,2022-07-08,Failed,None,Non-compliant,30915.0,Roof Repair,1891.17,2024-02-29,Tristanbury,7 days,2025-03-11,Pending,0,1,0
43,"444 Sean Lodge
South Amandaburgh, MS 86216",4177,100,Residential,4,Good,Wood,Sprinklers,Ramps,None,Office,Vacant,None,29515.0,2023-08-03,Passed with minor issues,None,Compliant,30915.0,Roof Repair,1891.17,2024-02-29,Tristanbury,7 days,2025-03-11,Pending,0,1,0
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,22353.0,2024-09-12,Failed,Like sister call couple who game somebody majority.,Non-compliant,16433.0,Roof Repair,1082.89,2024-07-14,Jonesfurt,4 days,2025-06-21,Expired,1,1,1
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,22353.0,2024-09-12,Failed,Like sister call couple who game somebody majority.,Non-compliant,18296.0,Electrical Work,4385.4,2023-09-22,Shawnshire,5 days,2025-01-27,Converted,1,1,1
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,22353.0,2024-09-12,Failed,Like sister call couple who game somebody majority.,Non-compliant,26181.0,Interior Painting,4446.58,2024-08-16,Douglasshire,4 days,2025-03-11,Pending,1,1,1
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,22353.0,2024-09-12,Failed,Like sister call couple who game somebody majority.,Non-compliant,37056.0,HVAC Installation,4869.51,2024-05-14,South Andreaborough,1 days,2024-10-23,Converted,1,1,1
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,49132.0,2024-08-19,Passed with minor issues,Nothing sit its.,Non-compliant,16433.0,Roof Repair,1082.89,2024-07-14,Jonesfurt,4 days,2025-06-21,Expired,1,1,1
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,49132.0,2024-08-19,Passed with minor issues,Nothing sit its.,Non-compliant,18296.0,Electrical Work,4385.4,2023-09-22,Shawnshire,5 days,2025-01-27,Converted,1,1,1
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,49132.0,2024-08-19,Passed with minor issues,Nothing sit its.,Non-compliant,26181.0,Interior Painting,4446.58,2024-08-16,Douglasshire,4 days,2025-03-11,Pending,1,1,1
44,"4309 Perry Stream
Gutierrezside, MT 19171",4455,61,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",None,None,Residential,Occupied,Lead Paint,49132.0,2024-08-19,Passed with minor issues,Nothing sit its.,Non-compliant,37056.0,HVAC Installation,4869.51,2024-05-14,South Andreaborough,1 days,2024-10-23,Converted,1,1,1
47,"132 Robinson Prairie
Collinsstad, IN 84368",1651,65,Industrial,4,Poor,Steel,"Sprinklers, Alarms, Extinguishers",None,None,Residential,Vacant,None,4313.0,2022-04-26,Failed,Wall box industry benefit particularly bad.,Non-compliant,33040.0,Plumbing,3470.56,2024-04-22,Olsonbury,5 days,2025-05-29,Pending,1,1,1
48,"91872 Dudley Overpass Suite 366
Howellside, NV 98342",1566,12,Residential,4,Excellent,Brick,"Sprinklers, Alarms","None, Elevator, Wide Doorways, Ramps",None,Office,Vacant,Mold,45327.0,2023-02-21,Failed,After training admit plant.,Non-compliant,39205.0,Roof Repair,3653.57,2024-06-18,North Jeffreyberg,7 days,2025-07-02,Pending,1,1,0
50,"7099 Hill Estates
Millertown, ME 08668",7044,42,Residential,8,Excellent,Steel,Extinguishers,"Ramps, Wide Doorways, Elevator",Fight western.,Office,Vacant,None,28414.0,2021-12-03,Passed with minor issues,None,Non-compliant,30131.0,Electrical Work,1581.0,2024-07-08,North Erin,5 days,2025-07-28,Closed,0,0,1
50,"7099 Hill Estates
Millertown, ME 08668",7044,42,Residential,8,Excellent,Steel,Extinguishers,"Ramps, Wide Doorways, Elevator",Fight western.,Office,Vacant,None,28414.0,2021-12-03,Passed with minor issues,None,Non-compliant,35891.0,Roof Repair,2550.32,2024-09-11,Saramouth,7 days,2025-04-14,Converted,0,0,1
50,"7099 Hill Estates
Millertown, ME 08668",7044,42,Residential,8,Excellent,Steel,Extinguishers,"Ramps, Wide Doorways, Elevator",Fight western.,Office,Vacant,None,35094.0,2023-02-19,Failed,Low road present if.,Non-compliant,30131.0,Electrical Work,1581.0,2024-07-08,North Erin,5 days,2025-07-28,Closed,0,0,1
50,"7099 Hill Estates
Millertown, ME 08668",7044,42,Residential,8,Excellent,Steel,Extinguishers,"Ramps, Wide Doorways, Elevator",Fight western.,Office,Vacant,None,35094.0,2023-02-19,Failed,Low road present if.,Non-compliant,35891.0,Roof Repair,2550.32,2024-09-11,Saramouth,7 days,2025-04-14,Converted,0,0,1
52,"17420 Newton Mission Suite 623
New Leonardmouth, VA 64668",2232,93,Commercial,7,Fair,Concrete,"Alarms, Extinguishers","Wide Doorways, Elevator, None, Ramps",None,Warehouse,Vacant,None,29970.0,2023-03-10,Passed with minor issues,None,Non-compliant,6878.0,Plumbing,4486.94,2023-09-21,East Jay,2 days,2025-06-01,Expired,1,0,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,18353.0,2022-03-31,Failed,None,Compliant,4559.0,Interior Painting,660.09,2023-11-06,East Christopher,3 days,2024-10-18,Expired,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,18353.0,2022-03-31,Failed,None,Compliant,7205.0,Roof Repair,1691.69,2024-06-22,West Joshua,4 days,2025-02-27,Converted,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,18353.0,2022-03-31,Failed,None,Compliant,25651.0,Plumbing,1004.49,2024-07-24,New Jeffrey,4 days,2024-12-05,Closed,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,21190.0,2022-06-08,Passed with minor issues,None,Compliant,4559.0,Interior Painting,660.09,2023-11-06,East Christopher,3 days,2024-10-18,Expired,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,21190.0,2022-06-08,Passed with minor issues,None,Compliant,7205.0,Roof Repair,1691.69,2024-06-22,West Joshua,4 days,2025-02-27,Converted,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,21190.0,2022-06-08,Passed with minor issues,None,Compliant,25651.0,Plumbing,1004.49,2024-07-24,New Jeffrey,4 days,2024-12-05,Closed,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,24807.0,2024-06-10,Passed with minor issues,None,Non-compliant,4559.0,Interior Painting,660.09,2023-11-06,East Christopher,3 days,2024-10-18,Expired,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,24807.0,2024-06-10,Passed with minor issues,None,Non-compliant,7205.0,Roof Repair,1691.69,2024-06-22,West Joshua,4 days,2025-02-27,Converted,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,24807.0,2024-06-10,Passed with minor issues,None,Non-compliant,25651.0,Plumbing,1004.49,2024-07-24,New Jeffrey,4 days,2024-12-05,Closed,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,47152.0,2024-08-17,Failed,None,Compliant,4559.0,Interior Painting,660.09,2023-11-06,East Christopher,3 days,2024-10-18,Expired,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,47152.0,2024-08-17,Failed,None,Compliant,7205.0,Roof Repair,1691.69,2024-06-22,West Joshua,4 days,2025-02-27,Converted,1,1,1
55,"0774 Conway Grove Suite 221
North Kevinview, DC 44346",2438,7,Industrial,4,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Ramps, Wide Doorways",Sort tough.,Warehouse,Vacant,None,47152.0,2024-08-17,Failed,None,Compliant,25651.0,Plumbing,1004.49,2024-07-24,New Jeffrey,4 days,2024-12-05,Closed,1,1,1
56,"4911 Cantu Rest Suite 095
New Lisaville, KY 32503",4943,92,Residential,6,Fair,Steel,"Alarms, Extinguishers, Sprinklers","Wide Doorways, Elevator",Laugh strategy treatment.,Retail,Vacant,Asbestos,9932.0,2021-12-29,Passed with minor issues,None,Non-compliant,47522.0,Interior Painting,543.78,2023-11-05,Simmonsport,5 days,2025-09-07,Expired,1,1,1
60,"43139 Johnson Forest Apt. 042
South Yesenia, SD 33061",9053,25,Commercial,3,Good,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,None,Office,Vacant,None,16160.0,2021-11-03,Failed,Fear black there describe raise north.,Compliant,7309.0,Interior Painting,1527.74,2023-11-26,Savannahtown,3 days,2025-06-09,Pending,1,1,1
60,"43139 Johnson Forest Apt. 042
South Yesenia, SD 33061",9053,25,Commercial,3,Good,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,None,Office,Vacant,None,16160.0,2021-11-03,Failed,Fear black there describe raise north.,Compliant,23458.0,Interior Painting,1389.46,2024-01-11,East Stephanie,1 days,2025-09-14,Expired,1,1,1
60,"43139 Johnson Forest Apt. 042
South Yesenia, SD 33061",9053,25,Commercial,3,Good,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,None,Office,Vacant,None,16160.0,2021-11-03,Failed,Fear black there describe raise north.,Compliant,36747.0,Plumbing,970.99,2024-03-07,East Anthony,6 days,2025-05-14,Closed,1,1,1
60,"43139 Johnson Forest Apt. 042
South Yesenia, SD 33061",9053,25,Commercial,3,Good,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,None,Office,Vacant,None,39155.0,2022-04-13,Passed with minor issues,Agency seem Republican Mr.,Non-compliant,7309.0,Interior Painting,1527.74,2023-11-26,Savannahtown,3 days,2025-06-09,Pending,1,1,1
60,"43139 Johnson Forest Apt. 042
South Yesenia, SD 33061",9053,25,Commercial,3,Good,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,None,Office,Vacant,None,39155.0,2022-04-13,Passed with minor issues,Agency seem Republican Mr.,Non-compliant,23458.0,Interior Painting,1389.46,2024-01-11,East Stephanie,1 days,2025-09-14,Expired,1,1,1
60,"43139 Johnson Forest Apt. 042
South Yesenia, SD 33061",9053,25,Commercial,3,Good,Steel,"Sprinklers, Alarms, Extinguishers",Ramps,None,Office,Vacant,None,39155.0,2022-04-13,Passed with minor issues,Agency seem Republican Mr.,Non-compliant,36747.0,Plumbing,970.99,2024-03-07,East Anthony,6 days,2025-05-14,Closed,1,1,1
61,"267 Vang Knolls Suite 594
Robertaville, NM 78828",4359,48,Commercial,2,Poor,Concrete,Extinguishers,Wide Doorways,None,Warehouse,Occupied,None,49303.0,2022-04-17,Failed,Foreign piece receive short likely.,Non-compliant,17436.0,HVAC Installation,796.11,2023-12-22,Mooreside,4 days,2024-11-09,Converted,0,0,1
62,"77121 Lauren Cliff
North Alexandra, RI 05544",6879,9,Residential,10,Fair,Wood,"Alarms, Extinguishers, Sprinklers",Ramps,None,Retail,Vacant,Mold,3539.0,2023-06-11,Failed,Wife tell partner character although.,Non-compliant,39086.0,HVAC Installation,4026.88,2024-02-05,East Rhonda,4 days,2025-03-03,Pending,1,1,1
62,"77121 Lauren Cliff
North Alexandra, RI 05544",6879,9,Residential,10,Fair,Wood,"Alarms, Extinguishers, Sprinklers",Ramps,None,Retail,Vacant,Mold,3539.0,2023-06-11,Failed,Wife tell partner character although.,Non-compliant,41208.0,Interior Painting,3308.44,2024-05-30,New Ruth,4 days,2025-07-17,Pending,1,1,1
62,"77121 Lauren Cliff
North Alexandra, RI 05544",6879,9,Residential,10,Fair,Wood,"Alarms, Extinguishers, Sprinklers",Ramps,None,Retail,Vacant,Mold,19983.0,2024-04-28,Passed with minor issues,Approach movement travel kid note community kitchen.,Non-compliant,39086.0,HVAC Installation,4026.88,2024-02-05,East Rhonda,4 days,2025-03-03,Pending,1,1,1
62,"77121 Lauren Cliff
North Alexandra, RI 05544",6879,9,Residential,10,Fair,Wood,"Alarms, Extinguishers, Sprinklers",Ramps,None,Retail,Vacant,Mold,19983.0,2024-04-28,Passed with minor issues,Approach movement travel kid note community kitchen.,Non-compliant,41208.0,Interior Painting,3308.44,2024-05-30,New Ruth,4 days,2025-07-17,Pending,1,1,1
62,"77121 Lauren Cliff
North Alexandra, RI 05544",6879,9,Residential,10,Fair,Wood,"Alarms, Extinguishers, Sprinklers",Ramps,None,Retail,Vacant,Mold,27507.0,2022-04-10,Passed,None,Non-compliant,39086.0,HVAC Installation,4026.88,2024-02-05,East Rhonda,4 days,2025-03-03,Pending,1,1,1
